quarter_year,survival,ci_lb,ci_ub,sex,dep,region,route,stage_cat,agegrp,diagnosisyear
1.5,.75,.74000001,.75999999,All Persons,IMD 4,All Regions,All Routes,All Stages,All Ages,All Years
1.75,.73000002,.72000003,.73000002,All Persons,IMD 4,All Regions,All Routes,All Stages,All Ages,All Years
2,.70999998,.69999999,.72000003,All Persons,IMD 4,All Regions,All Routes,All Stages,All Ages,All Years
2.25,.69,.68000001,.69999999,All Persons,IMD 4,All Regions,All Routes,All Stages,All Ages,All Years
2.5,.68000001,.67000002,.69,All Persons,IMD 4,All Regions,All Routes,All Stages,All Ages,All Years
2.75,.66000003,.66000003,.67000002,All Persons,IMD 4,All Regions,All Routes,All Stages,All Ages,All Years
3,.64999998,.63999999,.66000003,All Persons,IMD 4,All Regions,All Routes,All Stages,All Ages,All Years
3.25,.63999999,.63,.64999998,All Persons,IMD 4,All Regions,All Routes,All Stages,All Ages,All Years
3.5,.63,.62,.63999999,All Persons,IMD 4,All Regions,All Routes,All Stages,All Ages,All Years
3.75,.62,.61000001,.63,All Persons,IMD 4,All Regions,All Routes,All Stages,All Ages,All Years
4,.61000001,.60000002,.62,All Persons,IMD 4,All Regions,All Routes,All Stages,All Ages,All Years
4.25,.61000001,.60000002,.62,All Persons,IMD 4,All Regions,All Routes,All Stages,All Ages,All Years
4.5,.60000002,.58999997,.61000001,All Persons,IMD 4,All Regions,All Routes,All Stages,All Ages,All Years
4.75,.58999997,.57999998,.60000002,All Persons,IMD 4,All Regions,All Routes,All Stages,All Ages,All Years
5,.57999998,.56999999,.58999997,All Persons,IMD 4,All Regions,All Routes,All Stages,All Ages,All Years
0,1,1,1,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
.25,.94,.94,.94999999,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
.5,.89999998,.88999999,.89999998,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
.75,.86000001,.85000002,.86000001,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
1,.81999999,.81999999,.82999998,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
1.25,.80000001,.79000002,.80000001,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
1.5,.76999998,.75999999,.77999997,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
1.75,.75,.74000001,.75999999,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
2,.73000002,.72000003,.74000001,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
2.25,.70999998,.69999999,.72000003,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
2.5,.69999999,.69,.70999998,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
2.75,.69,.68000001,.69999999,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
3,.67000002,.66000003,.68000001,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
3.25,.66000003,.64999998,.67000002,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
3.5,.64999998,.63999999,.66000003,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
3.75,.63999999,.63,.64999998,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
4,.63,.62,.63999999,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
4.25,.62,.61000001,.63,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
4.5,.61000001,.60000002,.62,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
4.75,.61000001,.60000002,.62,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
5,.60000002,.58999997,.61000001,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
0,1,1,1,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
.25,.93000001,.92000002,.93000001,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
.5,.87,.86000001,.88,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
.75,.81999999,.81,.82999998,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
1,.77999997,.76999998,.79000002,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
1.25,.75,.74000001,.75999999,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
1.5,.73000002,.72000003,.74000001,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
1.75,.69999999,.69,.72000003,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
2,.68000001,.67000002,.69999999,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
2.25,.66000003,.64999998,.68000001,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
2.5,.64999998,.63999999,.66000003,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
2.75,.63,.62,.64999998,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
3,.62,.61000001,.63999999,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
3.25,.61000001,.60000002,.62,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
3.5,.60000002,.58999997,.62,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
3.75,.58999997,.57999998,.60000002,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
4,.57999998,.56,.58999997,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
4.25,.56999999,.55000001,.57999998,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
4.5,.56,.54000002,.56999999,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
4.75,.55000001,.54000002,.56999999,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
5,.54000002,.52999997,.56,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
0,1,1,1,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
.25,.93000001,.93000001,.94,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
.5,.88,.87,.88999999,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
.75,.82999998,.81999999,.83999997,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
1,.79000002,.77999997,.80000001,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
1.25,.75,.74000001,.75999999,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
1.5,.73000002,.72000003,.74000001,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
1.75,.70999998,.69,.72000003,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
2,.69,.67000002,.69999999,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
2.25,.67000002,.66000003,.68000001,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
2.5,.64999998,.63999999,.66000003,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
2.75,.63999999,.63,.64999998,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
3,.62,.61000001,.63999999,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
3.25,.61000001,.60000002,.63,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
3.5,.60000002,.58999997,.62,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
3.75,.58999997,.57999998,.61000001,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
4,.58999997,.56999999,.60000002,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
4.25,.56999999,.56,.58999997,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
4.5,.56,.55000001,.57999998,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
4.75,.56,.54000002,.56999999,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
5,.55000001,.54000002,.56,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
0,1,1,1,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
.25,.93000001,.93000001,.94,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
.5,.87,.87,.88,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
.75,.81999999,.81,.82999998,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
1,.77999997,.76999998,.79000002,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
1.25,.74000001,.73000002,.75,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
1.5,.72000003,.70999998,.73000002,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
1.75,.69999999,.68000001,.70999998,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
2,.67000002,.66000003,.69,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
2.25,.66000003,.64999998,.67000002,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
2.5,.63999999,.63,.66000003,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
2.75,.63,.62,.63999999,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
3,.62,.60000002,.63,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
3.25,.61000001,.58999997,.62,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
3.5,.60000002,.57999998,.61000001,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
3.75,.58999997,.56999999,.60000002,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
4,.57999998,.56999999,.58999997,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
4.25,.56999999,.56,.58999997,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
4.5,.56,.55000001,.56999999,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
4.75,.55000001,.54000002,.56999999,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
5,.54000002,.52999997,.56,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
0,1,1,1,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
.25,.93000001,.92000002,.93000001,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
.5,.86000001,.85000002,.87,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
.75,.81,.80000001,.82999998,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
1,.76999998,.75999999,.79000002,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
1.25,.74000001,.73000002,.75,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
1.5,.70999998,.69999999,.73000002,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
1.75,.69,.67000002,.69999999,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
2,.67000002,.64999998,.68000001,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
2.25,.64999998,.63,.67000002,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
2.5,.63,.62,.64999998,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
2.75,.62,.61000001,.63999999,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
3,.61000001,.60000002,.63,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
3.25,.60000002,.57999998,.62,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
3.5,.58999997,.56999999,.61000001,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
3.75,.57999998,.56,.60000002,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
4,.56999999,.56,.58999997,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
4.25,.56999999,.55000001,.57999998,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
4.5,.55000001,.54000002,.56999999,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
4.75,.55000001,.52999997,.56999999,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
5,.54000002,.51999998,.56,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
0,1,1,1,All Persons,All IMD Quintiles,North West,All Routes,All Stages,All Ages,All Years
.25,.93000001,.92000002,.93000001,All Persons,All IMD Quintiles,North West,All Routes,All Stages,All Ages,All Years
.5,.87,.86000001,.88,All Persons,All IMD Quintiles,North West,All Routes,All Stages,All Ages,All Years
.75,.81999999,.81999999,.82999998,All Persons,All IMD Quintiles,North West,All Routes,All Stages,All Ages,All Years
