quarter_year,survival,ci_lb,ci_ub,sex,dep,region,route,stage_cat,agegrp,diagnosisyear
0,1,1,1,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
.25,.93000001,.93000001,.93000001,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
.5,.87,.87,.87,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
.75,.81999999,.81999999,.82999998,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
1,.77999997,.77999997,.79000002,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
1.25,.75,.75,.75999999,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
1.5,.73000002,.72000003,.73000002,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
1.75,.69999999,.69999999,.70999998,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
2,.68000001,.68000001,.69,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
2.25,.67000002,.66000003,.67000002,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
2.5,.64999998,.64999998,.66000003,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
2.75,.63999999,.63,.63999999,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
3,.62,.62,.63,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
3.25,.61000001,.61000001,.62,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
3.5,.60000002,.60000002,.61000001,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
3.75,.58999997,.58999997,.60000002,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
4,.57999998,.57999998,.58999997,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
4.25,.56999999,.56999999,.57999998,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
4.5,.56,.56,.56999999,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
4.75,.55000001,.55000001,.56,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
5,.54000002,.54000002,.55000001,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
0,1,1,1,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
.25,.93000001,.93000001,.93000001,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
.5,.87,.87,.88,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
.75,.82999998,.81999999,.82999998,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
1,.77999997,.77999997,.79000002,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
1.25,.75,.75,.75999999,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
1.5,.73000002,.72000003,.73000002,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
1.75,.69999999,.69999999,.70999998,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
2,.68000001,.68000001,.69,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
2.25,.66000003,.66000003,.67000002,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
2.5,.64999998,.63999999,.64999998,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
2.75,.63,.63,.63999999,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
3,.62,.61000001,.62,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
3.25,.61000001,.60000002,.61000001,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
3.5,.60000002,.58999997,.60000002,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
3.75,.58999997,.57999998,.58999997,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
4,.57999998,.56999999,.57999998,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
4.25,.56999999,.56,.56999999,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
4.5,.56,.55000001,.56,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
4.75,.55000001,.54000002,.55000001,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
5,.54000002,.52999997,.54000002,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
0,1,1,1,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
.25,.93000001,.93000001,.94,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
.5,.87,.87,.88,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
.75,.81999999,.81999999,.82999998,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
1,.77999997,.77999997,.79000002,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
1.25,.75,.75,.75999999,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
1.5,.73000002,.72000003,.73000002,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
1.75,.70999998,.69999999,.70999998,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
2,.69,.68000001,.69,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
2.25,.67000002,.67000002,.68000001,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
2.5,.66000003,.64999998,.67000002,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
2.75,.64999998,.63999999,.64999998,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
3,.63999999,.63,.63999999,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
3.25,.62,.62,.63,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
3.5,.61000001,.60000002,.62,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
3.75,.60000002,.58999997,.61000001,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
4,.58999997,.57999998,.60000002,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
4.25,.57999998,.57999998,.58999997,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
4.5,.56999999,.56999999,.57999998,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
4.75,.56999999,.56,.57999998,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
5,.56,.55000001,.56999999,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
0,1,1,1,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
.25,.91000003,.91000003,.92000002,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
.5,.83999997,.83999997,.85000002,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
.75,.77999997,.77999997,.79000002,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
1,.74000001,.73000002,.74000001,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
1.25,.69999999,.69,.70999998,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
1.5,.67000002,.67000002,.68000001,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
1.75,.64999998,.63999999,.66000003,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
2,.63,.62,.63999999,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
2.25,.61000001,.60000002,.62,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
2.5,.58999997,.57999998,.60000002,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
2.75,.57999998,.56999999,.58999997,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
3,.56,.55000001,.56999999,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
3.25,.55000001,.54000002,.56,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
3.5,.54000002,.52999997,.55000001,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
3.75,.52999997,.51999998,.54000002,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
4,.51999998,.50999999,.52999997,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
4.25,.50999999,.5,.51999998,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
4.5,.5,.49000001,.50999999,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
4.75,.49000001,.47999999,.5,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
5,.47999999,.47,.49000001,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
0,1,1,1,All Persons,IMD 2,All Regions,All Routes,All Stages,All Ages,All Years
.25,.93000001,.92000002,.93000001,All Persons,IMD 2,All Regions,All Routes,All Stages,All Ages,All Years
.5,.87,.86000001,.87,All Persons,IMD 2,All Regions,All Routes,All Stages,All Ages,All Years
.75,.81999999,.81,.82999998,All Persons,IMD 2,All Regions,All Routes,All Stages,All Ages,All Years
1,.77999997,.76999998,.77999997,All Persons,IMD 2,All Regions,All Routes,All Stages,All Ages,All Years
1.25,.74000001,.74000001,.75,All Persons,IMD 2,All Regions,All Routes,All Stages,All Ages,All Years
1.5,.72000003,.70999998,.72000003,All Persons,IMD 2,All Regions,All Routes,All Stages,All Ages,All Years
1.75,.69,.68000001,.69999999,All Persons,IMD 2,All Regions,All Routes,All Stages,All Ages,All Years
2,.67000002,.66000003,.68000001,All Persons,IMD 2,All Regions,All Routes,All Stages,All Ages,All Years
2.25,.64999998,.64999998,.66000003,All Persons,IMD 2,All Regions,All Routes,All Stages,All Ages,All Years
2.5,.63999999,.63,.64999998,All Persons,IMD 2,All Regions,All Routes,All Stages,All Ages,All Years
2.75,.62,.61000001,.63,All Persons,IMD 2,All Regions,All Routes,All Stages,All Ages,All Years
3,.61000001,.60000002,.62,All Persons,IMD 2,All Regions,All Routes,All Stages,All Ages,All Years
3.25,.60000002,.58999997,.61000001,All Persons,IMD 2,All Regions,All Routes,All Stages,All Ages,All Years
3.5,.58999997,.57999998,.60000002,All Persons,IMD 2,All Regions,All Routes,All Stages,All Ages,All Years
3.75,.56999999,.56,.57999998,All Persons,IMD 2,All Regions,All Routes,All Stages,All Ages,All Years
4,.56,.55000001,.56999999,All Persons,IMD 2,All Regions,All Routes,All Stages,All Ages,All Years
4.25,.55000001,.54000002,.56,All Persons,IMD 2,All Regions,All Routes,All Stages,All Ages,All Years
4.5,.54000002,.52999997,.55000001,All Persons,IMD 2,All Regions,All Routes,All Stages,All Ages,All Years
4.75,.52999997,.51999998,.54000002,All Persons,IMD 2,All Regions,All Routes,All Stages,All Ages,All Years
5,.51999998,.50999999,.52999997,All Persons,IMD 2,All Regions,All Routes,All Stages,All Ages,All Years
0,1,1,1,All Persons,IMD 3,All Regions,All Routes,All Stages,All Ages,All Years
.25,.94,.93000001,.94,All Persons,IMD 3,All Regions,All Routes,All Stages,All Ages,All Years
.5,.88,.87,.88,All Persons,IMD 3,All Regions,All Routes,All Stages,All Ages,All Years
.75,.82999998,.82999998,.83999997,All Persons,IMD 3,All Regions,All Routes,All Stages,All Ages,All Years
1,.80000001,.79000002,.80000001,All Persons,IMD 3,All Regions,All Routes,All Stages,All Ages,All Years
1.25,.75999999,.75999999,.76999998,All Persons,IMD 3,All Regions,All Routes,All Stages,All Ages,All Years
1.5,.74000001,.73000002,.75,All Persons,IMD 3,All Regions,All Routes,All Stages,All Ages,All Years
1.75,.72000003,.70999998,.73000002,All Persons,IMD 3,All Regions,All Routes,All Stages,All Ages,All Years
2,.69999999,.69,.70999998,All Persons,IMD 3,All Regions,All Routes,All Stages,All Ages,All Years
2.25,.68000001,.67000002,.69,All Persons,IMD 3,All Regions,All Routes,All Stages,All Ages,All Years
2.5,.67000002,.66000003,.68000001,All Persons,IMD 3,All Regions,All Routes,All Stages,All Ages,All Years
2.75,.66000003,.64999998,.66000003,All Persons,IMD 3,All Regions,All Routes,All Stages,All Ages,All Years
3,.63999999,.63,.64999998,All Persons,IMD 3,All Regions,All Routes,All Stages,All Ages,All Years
3.25,.63,.62,.63999999,All Persons,IMD 3,All Regions,All Routes,All Stages,All Ages,All Years
3.5,.62,.61000001,.63,All Persons,IMD 3,All Regions,All Routes,All Stages,All Ages,All Years
3.75,.61000001,.60000002,.62,All Persons,IMD 3,All Regions,All Routes,All Stages,All Ages,All Years
4,.60000002,.58999997,.61000001,All Persons,IMD 3,All Regions,All Routes,All Stages,All Ages,All Years
4.25,.58999997,.57999998,.60000002,All Persons,IMD 3,All Regions,All Routes,All Stages,All Ages,All Years
4.5,.57999998,.56999999,.58999997,All Persons,IMD 3,All Regions,All Routes,All Stages,All Ages,All Years
4.75,.56999999,.56,.57999998,All Persons,IMD 3,All Regions,All Routes,All Stages,All Ages,All Years
5,.56,.55000001,.56999999,All Persons,IMD 3,All Regions,All Routes,All Stages,All Ages,All Years
0,1,1,1,All Persons,IMD 4,All Regions,All Routes,All Stages,All Ages,All Years
.25,.94,.93000001,.94,All Persons,IMD 4,All Regions,All Routes,All Stages,All Ages,All Years
.5,.88,.88,.88999999,All Persons,IMD 4,All Regions,All Routes,All Stages,All Ages,All Years
.75,.83999997,.82999998,.85000002,All Persons,IMD 4,All Regions,All Routes,All Stages,All Ages,All Years
1,.80000001,.79000002,.81,All Persons,IMD 4,All Regions,All Routes,All Stages,All Ages,All Years
1.25,.76999998,.75999999,.77999997,All Persons,IMD 4,All Regions,All Routes,All Stages,All Ages,All Years
