id,table,diagnosisYear,ageSpecificIncidenceAge0_49,ageSpecificIncidenceAge50_54,ageSpecificIncidenceAge55_59,ageSpecificIncidenceAge60_64,ageSpecificIncidenceAge65_69,ageSpecificIncidenceAge70_74,ageSpecificIncidenceAge75_79,ageSpecificIncidenceAge80_84,ageSpecificIncidenceAge85_89,ageSpecificIncidenceAge90,ageStandardisedIncidence
30,,,,,,,,,,,,,
31,IMD1 ~,All Years,,,,,,,,,,,8.8333616
32,IMD1 ~,2016,1.1788837,10.106435,14.999427,21.586397,20.993931,24.403797,18.798933,18.949972,20.90049,12.562814,7.736414
33,IMD1 ~,2017,1.2376099,14.98354,19.090042,21.036629,28.132624,23.528059,15.989529,19.38341,20.825657,20.821188,8.6753006
34,IMD1 ~,2018,1.0937349,10.888594,16.342409,24.877253,20.903532,19.461138,23.036167,14.744551,15.265703,15.438163,7.7804503
35,IMD1 ~,2019,1.1822348,7.7397528,16.833717,18.192936,27.347229,30.817907,27.166033,18.422634,20.065495,12.384753,8.465744
36,IMD1 ~,2020,1.0298994,10.712872,13.880277,19.450266,19.333271,19.647306,23.02194,18.619692,19.515209,19.61059,7.3682728
37,IMD1 ~,2021,1.5076026,10.628247,14.80289,22.295591,19.820402,19.446732,20.316044,16.207903,15.004668,10.45528,7.5734591
38,IMD1 ~,2022,0.84421009,9.8252506,13.869114,17.468729,23.092505,20.255003,19.843714,23.041721,16.640013,11.874722,7.1733289
39,IMD1 ~,2023,1.0488671,9.5445299,15.639639,18.333517,21.113146,19.728899,22.238646,16.611473,22.186682,25.233784,7.462152
40,,,,,,,,,,,,,
41,IMD2~,All Years,,,,,,,,,,,7.5908637
42,IMD2~,2016,1.0436959,9.6875753,15.257691,18.101599,20.354954,18.815855,17.511547,20.179428,23.83017,15.804922,7.1733952
43,IMD2~,2017,1.0930308,8.1152954,12.511909,14.645708,16.130953,19.334621,18.338188,16.175592,17.695404,13.483752,6.3189554
44,IMD2~,2018,1.0511407,10.71705,11.117401,16.410299,15.806266,20.638254,21.654066,17.10244,26.282246,16.835773,6.8562107
45,IMD2~,2019,0.94755661,6.9957299,10.531949,15.50924,19.162333,19.321222,22.830847,17.58572,22.135994,21.800028,6.6057482
46,IMD2~,2020,0.97321755,8.0807438,11.108303,16.340813,19.951569,20.402792,19.388538,21.96319,19.543974,23.994415,6.8370042
47,IMD2~,2021,1.2018371,8.7850075,11.321438,15.926202,20.96077,20.362598,20.300251,18.785866,20.043524,18.833138,6.9811497
48,IMD2~,2022,0.87805635,6.583199,12.59439,12.830524,19.214832,16.652933,21.860283,18.881477,20.961809,19.400635,6.3292494
49,IMD2~,2023,0.797005,7.2549539,8.7613144,13.780933,15.527137,19.031923,18.69976,19.702412,24.342747,18.25942,5.9842362
50,,,,,,,,,,,,,
51,IMD3~,All Years,,,,,,,,,,,6.9326301
52,IMD3~,2016,1.0279543,5.5708051,12.199095,13.035154,15.735249,18.167027,16.127155,18.34474,19.160435,32.561436,6.0825744
53,IMD3~,2017,1.0416516,6.7639847,10.024644,12.962987,15.358147,17.694992,14.597361,20.429222,17.622311,13.240774,5.7590823
54,IMD3~,2018,1.025308,6.7514515,9.8993387,13.817945,14.884611,18.114473,15.432333,19.910908,17.982378,25.305779,5.9328098
55,IMD3~,2019,1.0823326,8.668026,8.1693211,13.351114,18.252123,17.566469,17.680511,28.943085,23.071144,21.706295,6.4751754
56,IMD3~,2020,0.78259128,6.8521395,9.638752,13.032556,13.382709,18.031435,18.907696,18.565445,21.356113,19.755747,5.7414665
57,IMD3~,2021,0.82164711,8.571003,12.628858,12.830121,18.864365,21.473721,25.033562,28.832466,23.030199,23.99712,7.1106625
58,IMD3~,2022,0.84547305,5.0979395,9.1861458,12.491529,15.138655,19.509926,16.37455,20.999649,23.92556,19.097679,5.7571411
59,IMD3~,2023,0.80097449,7.8429832,8.5482187,10.050655,14.118072,17.362043,16.996368,20.67153,25.485924,10.003547,5.5198402
60,,,,,,,,,,,,,
61,IMD4~,All Years,,,,,,,,,,,6.1453705
62,IMD4~,2016,0.95507717,6.8752737,7.6395998,12.366706,10.858942,16.064663,20.819708,19.646816,17.528578,18.244846,5.4722533
63,IMD4~,2017,1.0957893,5.4821825,9.1934128,12.030446,14.389789,14.615297,14.717556,24.646467,17.558899,21.527946,5.5773129
64,IMD4~,2018,0.9877072,4.390758,10.272715,9.5501862,13.558146,15.510508,16.76848,18.026026,20.810598,27.389273,5.3792572
65,IMD4~,2019,0.55615103,4.9058385,7.8260913,10.709456,16.955307,14.493022,20.323946,19.278328,25.302891,28.069817,5.4462748
66,IMD4~,2020,0.71018428,4.4672885,9.6388798,10.154317,14.361347,15.11785,16.489231,18.155031,16.190439,15.928239,5.0430593
67,IMD4~,2021,0.74550557,4.7375841,8.7558126,14.097789,15.736631,22.088383,24.605755,24.045536,31.053757,32.301373,6.545507
68,IMD4~,2022,0.8637073,4.2525115,8.7321758,12.13225,11.79758,13.015342,14.77858,20.119354,13.421328,14.969687,4.8648415
69,IMD4~,2023,0.71975607,5.1545596,6.7362494,8.5065203,11.95919,14.003849,16.071705,18.935863,15.272546,19.959581,4.6510143
70,,,,,,,,,,,,,
71,IMD5~,All Years,,,,,,,,,,,5.7254372
72,IMD5~,2016,0.86557698,4.2021751,8.6860733,11.710095,13.393652,15.188684,20.790815,16.032089,22.605682,22.009367,5.3770533
73,IMD5~,2017,1.0306656,4.7871342,6.8466392,8.5147886,9.9956083,15.009645,15.070916,14.709172,20.571899,23.933874,4.7384481
74,IMD5~,2018,0.67808014,3.6025131,6.6864376,8.3778753,12.857038,14.31552,17.669044,18.714632,23.019596,22.679546,4.7727256
75,IMD5~,2019,0.6312843,4.3485875,8.6941404,8.5331898,12.141021,15.269896,16.542349,18.133776,21.062288,26.457359,4.8933921
76,IMD5~,2020,0.40480554,4.6505365,7.2334356,9.3577375,12.617276,12.923562,15.735416,17.630264,24.341181,22.772961,4.6072555
77,IMD5~,2021,0.66675293,5.8977566,9.0429459,10.969225,17.013029,20.600992,25.060356,27.911394,26.365128,30.817591,6.4351254
78,IMD5~,2022,0.58011496,6.0327959,7.7309723,9.7954702,11.482746,12.975384,16.154238,17.778831,18.381096,22.352398,4.736608
79,IMD5~,2023,0.58011496,4.1475472,4.8630309,9.6555357,12.453119,13.455954,14.749521,20.600868,17.526161,21.581625,4.4810581
80,,,,,,,,,,,,,
81,East Midlands~,All Years,,,,,,,,,,,7.1959972
82,East Midlands~,2016,1.2275206,7.5984068,10.346438,18.873764,18.904333,19.459127,21.832563,18.775175,18.042274,19.377968,6.9054108
83,East Midlands~,2017,1.5944705,7.5097408,11.6192,16.062037,19.417767,17.780277,10.439247,19.28042,12.26927,11.970887,6.3775983
84,East Midlands~,2018,0.91387504,8.3329744,9.3997326,15.064889,19.194963,17.366386,16.568439,21.185577,21.576427,19.209528,6.2878089
85,East Midlands~,2019,1.2870544,6.0116625,11.292296,14.774402,17.12722,17.11989,19.097046,22.110966,31.742252,28.007936,6.6972437
86,East Midlands~,2020,0.81532067,7.5270901,10.426597,13.317212,18.916704,14.272048,19.892473,20.370907,15.806111,21.002029,6.0071082
87,East Midlands~,2021,1.224135,8.0722113,11.429275,9.8369112,15.72259,18.431906,19.484682,26.677755,16.857721,25.354969,6.3839793
88,East Midlands~,2022,1.0106969,6.6857357,12.750334,16.05794,16.717077,16.464211,14.06628,19.276886,30.414782,22.618294,6.3464026
89,East Midlands~,2023,0.70748782,6.9764199,11.011652,10.81453,10.108,14.054813,15.472908,17.734735,21.543804,20.356464,5.1322331
90,,,,,,,,,,,,,
91,East of England~,All Years,,,,,,,,,,,6.2234674
92,East of England~,2016,1.0978148,5.221138,11.253039,11.950787,16.751869,14.427831,13.751375,19.751015,27.252199,26.684456,5.8458438
93,East of England~,2017,1.253105,7.8541727,6.6026716,12.375399,13.670337,18.779104,19.72683,23.694954,20.064014,32.931026,6.1884251
94,East of England~,2018,0.91338241,6.9248676,7.1707983,7.5234966,12.296871,13.70397,20.507586,18.405163,19.97109,26.174156,5.1626825
95,East of England~,2019,0.73039067,5.143826,6.2595701,10.220101,16.199883,14.101198,18.286949,16.841469,24.350725,17.479462,5.1143079
96,East of England~,2020,0.57422811,6.9957528,7.2749972,11.344143,14.458861,15.804761,17.984333,16.788528,16.751041,26.937094,5.2387037
97,East of England~,2021,0.83138502,6.5530801,7.5985041,15.830936,14.058414,15.56043,19.741467,16.987177,17.432472,15.657784,5.5932565
98,East of England~,2022,0.64608049,6.1608109,7.7470984,11.4589,10.752192,16.544807,21.023001,21.965698,17.881889,24.419279,5.3375559
99,East of England~,2023,0.7236101,7.52988,5.6963959,8.8546047,13.517042,12.408606,13.89656,22.543743,15.199607,28.997894,4.8713322
100,,,,,,,,,,,,,
101,London~,All Years,,,,,,,,,,,7.1213813
102,London~,2016,0.88887048,6.1800542,10.325964,17.316816,16.635841,16.550882,20.926031,15.323881,14.254321,20.032854,6.0618086
103,London~,2017,0.73465919,5.885941,8.4516382,12.080077,16.374817,18.274111,17.121113,22.422335,26.839373,19.945351,5.7960863
104,London~,2018,0.73388052,5.4472933,11.072162,15.49094,14.449022,19.13076,23.051846,17.789923,12.731482,25.772684,6.0448799
105,London~,2019,0.73283023,6.6379719,10.726183,12.074663,19.031338,22.51685,23.765413,25.154245,19.541578,32.74205,6.7059488
106,London~,2020,0.72382253,7.1488476,9.3047199,17.94733,16.812153,19.481493,17.144663,16.804958,23.138508,17.493391,6.1502628
107,London~,2021,0.94284624,7.5041013,8.9279652,17.648703,19.718893,26.382675,32.053932,25.045439,19.380728,25.216278,7.5945029
108,London~,2022,0.74760598,4.3933721,9.2005491,13.061216,17.290649,20.173876,24.017561,17.182991,20.214272,30.32543,6.1017094
109,London~,2023,0.71579295,6.3264556,4.7919526,14.486076,11.317516,15.606206,16.331942,22.910656,21.337286,7.5813575,5.0848179
110,,,,,,,,,,,,,
111,North East~,All Years,,,,,,,,,,,8.0352039
112,North East~,2016,1.5801952,10.315499,8.9327087,17.155602,12.477618,17.590298,24.333733,20.176981,22.144579,23.181417,6.9035068
113,North East~,2017,1.4613502,6.7430882,14.218761,20.502115,13.034326,17.443668,14.917898,12.737772,12.001344,22.899015,6.4310279
114,North East~,2018,1.2122481,4.1957526,12.926437,23.029745,16.597069,21.46368,26.593199,17.976658,26.021338,13.812155,7.2827859
115,North East~,2019,1.4730719,11.705303,14.365752,20.707609,16.0016,21.511345,34.210007,21.621914,27.630033,13.387478,8.3071041
116,North East~,2020,1.2221463,8.1556311,15.725413,14.499562,13.993377,12.936171,14.140557,12.189672,6.8736396,17.98642,5.778306
117,North East~,2021,1.0959024,10.37401,13.509792,21.000772,22.982016,30.93997,20.307121,28.746252,13.624907,21.736296,8.2965508
118,North East~,2022,0.76192898,9.4115038,10.927995,18.307499,15.425056,14.758592,17.411896,22.076273,26.570423,16.889038,6.3344884
119,North East~,2023,0.825423,7.1970325,9.8872337,15.533636,17.995899,18.272541,26.988438,17.936972,26.570423,21.1113,6.6230211
120,,,,,,,,,,,,,
121,North West~,All Years,,,,,,,,,,,7.8075876
122,North West~,2016,1.0796093,7.6816125,15.008973,15.860188,21.028461,20.471666,19.163103,20.90608,18.925594,17.055243,7.0472302
123,North West~,2017,1.2770663,10.533291,14.971417,14.33947,23.430895,18.446091,17.386805,14.450948,18.636898,20.308348,7.1002378
124,North West~,2018,1.077777,11.311871,11.51304,19.904024,17.530685,17.322969,19.052382,15.682542,22.262419,13.505301,6.8453484
125,North West~,2019,0.85656077,4.9999232,11.830926,12.575602,22.735865,22.359131,20.762363,19.998842,20.979084,16.441149,6.5740352
126,North West~,2020,0.76989609,7.7866764,11.405154,14.991052,20.253975,19.124878,18.046741,20.93627,22.736368,24.99625,6.5619988
127,North West~,2021,0.921956,9.15874,12.657537,16.111744,24.12443,22.946184,23.291954,21.022867,22.219852,26.199873,7.5196486
128,North West~,2022,0.62791467,8.4697018,12.048404,12.158635,19.797956,19.147732,15.270977,26.624207,17.362165,19.296328,6.2646856
129,North West~,2023,0.90939367,5.5151548,10.493771,15.849649,18.234961,18.592726,23.238443,18.793558,23.438925,24.120409,6.4985886
130,,,,,,,,,,,,,
131,South East~,All Years,,,,,,,,,,,6.4194574
132,South East~,2016,0.92131263,6.2299333,11.486108,12.780316,15.030519,17.830362,17.17532,17.184713,21.937696,21.715763,5.8925624
133,South East~,2017,0.97517192,7.2104225,9.2626581,9.9286556,13.038538,16.45472,18.865101,19.480053,18.954992,19.281445,5.5559769
134,South East~,2018,0.86984783,6.8963037,9.9908752,12.110456,11.750831,18.518164,15.711462,15.317359,21.373888,27.731262,5.5709
135,South East~,2019,0.76469934,6.1679735,7.1352935,12.394861,16.706951,18.614729,17.701185,25.027954,23.046785,31.028599,5.9450631
136,South East~,2020,0.90843576,5.3275776,10.11378,11.882331,11.75651,17.867495,20.18961,21.560932,24.169952,23.89809,5.7855325
137,South East~,2021,0.76346463,5.9411731,8.5400143,11.343449,14.453672,19.384531,21.521429,24.949196,29.957125,28.732094,6.102747
138,South East~,2022,0.70481163,4.4561706,7.8327537,10.832254,12.085284,15.003519,16.539902,15.404669,10.994918,14.978281,4.677217
139,South East~,2023,0.61671019,6.6074252,9.2150049,10.477098,13.145396,15.224159,17.527359,18.169609,23.822323,9.9855213,5.1630435
140,,,,,,,,,,,,,
141,South West~,All Years,,,,,,,,,,,6.4665103
142,South West~,2016,0.67551798,8.2716093,8.9309387,12.595929,10.62943,17.948736,19.875824,17.411203,18.186518,29.852154,5.611033
143,South West~,2017,1.1030942,5.6965804,10.809759,15.733785,12.35843,17.016932,13.435567,16.499432,19.775129,20.32139,5.6986189
144,South West~,2018,1.4094532,5.191184,12.104594,10.701896,14.239706,15.06437,15.112253,22.169495,21.466238,21.845644,5.8876414
145,South West~,2019,1.0739362,7.2043247,8.9572258,14.574201,17.774237,15.669209,22.36721,23.331505,20.287342,24.241322,6.4018183
146,South West~,2020,0.70738369,5.529736,8.0047226,9.6636753,13.959851,18.470415,19.735861,23.634256,30.199039,19.50312,5.6383333
147,South West~,2021,0.95080793,6.3002286,14.190887,12.062065,16.038986,16.955593,19.406319,24.693769,18.019804,17.665243,6.2376108
148,South West~,2022,0.88235819,4.8586516,10.426391,10.113269,13.379269,12.932588,15.964794,16.328369,15.91118,10.206908,4.9328823
149,South West~,2023,0.97363669,4.091496,5.5769067,9.0487137,13.987417,15.395937,12.494186,15.202274,17.679089,23.330076,4.7031612
150,,,,,,,,,,,,,
151,West Midlands~,All Years,,,,,,,,,,,6.8633094
152,West Midlands~,2016,1.0038505,8.1708651,11.961075,15.475036,14.182653,18.307823,16.722069,18.632511,19.090399,9.9056978,6.1058269
153,West Midlands~,2017,0.94720984,8.0913095,12.957475,13.688426,16.069578,13.555066,15.530128,25.666485,16.449894,11.725163,5.9961786
154,West Midlands~,2018,0.973436,6.5644555,10.475929,15.053959,16.053566,18.717958,17.494921,19.717903,19.57011,25.361895,6.1962399
155,West Midlands~,2019,0.67622691,5.3262706,13.873874,10.183488,20.949484,16.857082,16.716585,16.606415,22.458212,15.145205,5.8653731
156,West Midlands~,2020,0.78693408,5.8273501,11.003381,15.381831,11.925734,15.052771,14.398135,17.130783,18.082605,13.239271,5.3424544
157,West Midlands~,2021,1.086756,8.2405062,11.586639,15.479424,20.040421,19.781584,29.189447,17.850767,26.119755,14.858565,7.1671848
158,West Midlands~,2022,0.94133091,6.1254544,10.23023,12.48443,17.093388,13.489144,12.626005,20.823736,16.271406,7.2539988,5.3738627
159,West Midlands~,2023,0.72616953,8.8206539,11.228301,8.5121117,13.071413,22.008604,17.920782,20.823736,22.373184,12.694498,5.8203006
160,,,,,,,,,,,,,
161,Yorkshire and the Humber~,All Years,,,,,,,,,,,7.4984279
162,Yorkshire and the Humber~,2016,1.1740613,7.1046276,13.546185,16.221422,14.626156,19.86727,22.570879,20.799442,28.619425,20.138283,6.9185863
163,Yorkshire and the Humber~,2017,1.1770986,10.199625,14.932788,12.957801,17.109226,20.763161,9.9135866,16.742615,22.051798,8.8609276,6.3937635
164,Yorkshire and the Humber~,2018,1.0921967,6.7885118,12.365942,13.024055,19.318174,17.242266,19.5049,17.074074,28.997414,22.180819,6.5150952
165,Yorkshire and the Humber~,2019,1.1542122,8.0977373,10.995566,14.690431,17.377426,20.820246,19.90029,15.331331,20.082218,25.897232,6.6033196
166,Yorkshire and the Humber~,2020,0.98131138,8.1516953,11.349297,12.138906,20.730278,16.333487,20.79677,15.985765,16.383083,19.51812,6.2645392
167,Yorkshire and the Humber~,2021,1.0150584,7.8726726,14.679781,19.110367,19.522861,20.789509,20.42275,22.542038,32.170967,27.462662,7.5219655
168,Yorkshire and the Humber~,2022,0.88664144,8.2234221,12.202562,13.583466,18.14426,14.479786,18.957012,20.419373,23.544184,18.71452,6.2556615
169,Yorkshire and the Humber~,2023,0.94575083,6.8970642,10.876197,12.107002,20.586758,14.851063,13.666683,21.123487,11.211516,22.873302,5.8395605
170,,,,,,,,,,,,,
171,Emergency route~,All Years,,,,,,,,,,,0.22184612
172,Emergency route~,2016,0.059653167,0.30982974,0.32566926,0.64824891,0.46173304,1.0918456,0.83516794,1.1149441,1.7851915,2.0498271,0.30668402
173,Emergency route~,2017,0.059676003,0.30608833,0.55770785,0.42448953,0.91171926,0.46915251,0.72892523,1.1464239,1.4583348,2.0187991,0.29303172
174,Emergency route~,2018,0.059607949,0.25555971,0.65132242,0.57474053,0.63696384,0.84944415,1.3022738,0.85757524,0.93007493,0.8011601,0.30406868
175,Emergency route~,2019,0,0,0,0,0,0,0,0,0,0,0
176,Emergency route~,2020,0,0,0,0,0,0,0,0,0,0,0
177,Emergency route~,2021,0,0,0,0,0,0,0,0,0,0,0
178,Emergency route~,2022,0.047954608,0.52365971,0.61789626,0.62894541,0.89121795,0.87167203,0.60935754,1.023882,1.2663974,1.5535791,0.32091215
179,Emergency route~,2023,0.070521481,0.44511077,0.56640494,0.60035694,0.75410748,1.0990648,0.97497207,1.2158599,0.97415185,0.9709869,0.33716026
180,,,,,,,,,,,,,
181,Non-emergency route~,All Years,,,,,,,,,,,3.7677674
182,Non-emergency route~,2016,0.93456626,6.5580626,10.895117,14.022647,14.973343,16.671642,17.928272,17.095808,18.44698,18.448444,5.8415222
183,Non-emergency route~,2017,1.0230172,7.1675682,10.206054,12.310196,15.078434,15.482033,13.745447,15.780189,14.895849,16.352272,5.4624739
184,Non-emergency route~,2018,0.86573452,6.4656606,9.3084831,12.452712,13.907044,14.865273,15.477023,15.106518,16.534664,20.429583,5.2901192
185,Non-emergency route~,2019,0,0,0,0,0,0,0,0,0,0,0
186,Non-emergency route~,2020,0,0,0,0,0,0,0,0,0,0,0
187,Non-emergency route~,2021,0,0,0,0,0,0,0,0,0,0,0
188,Non-emergency route~,2022,0.72213995,5.707891,9.2941904,11.378194,13.916711,15.007919,15.030819,17.022039,14.904524,16.31258,5.0561643
189,Non-emergency route~,2023,0.67982709,6.0220871,7.8524318,10.549129,13.059771,15.007919,14.705829,16.382113,16.463167,17.477764,4.8677907
190,,,,,,,,,,,,,
191,Early Stage~,All Years,,,,,,,,,,,2.3893104
192,Early Stage~,2016,0.56244415,3.4855845,4.8258262,5.5954113,7.1898432,7.7689018,8.1846457,7.3586307,7.2597785,6.1494818,2.7021148
193,Early Stage~,2017,0.5512926,3.4945085,5.0193706,5.4857106,6.9080267,7.4703512,6.1437984,7.0134172,6.9791741,7.2676768,2.5882165
194,Early Stage~,2018,0.4882175,3.1689403,4.2878728,5.300385,6.6527338,7.9989324,6.7117186,6.3988304,5.6837912,4.4063807,2.4399805
195,Early Stage~,2019,0.40574753,2.5508864,3.6289902,4.4447265,6.5718098,6.8089447,7.3268971,6.1172309,5.5744581,5.6063237,2.2162194
196,Early Stage~,2020,0.32070383,2.6609375,4.1459012,4.5902438,5.5343366,5.915741,5.1518841,6.1787758,4.9253407,5.7574172,2.0189679
197,Early Stage~,2021,0.39617482,2.8625157,4.441525,5.6971774,6.6504068,8.2073612,6.5873942,7.6351252,5.2088027,6.1688843,2.4429078
198,Early Stage~,2022,0,0,0,0,0,0,0,0,0,0,0
199,Early Stage~,2023,0,0,0,0,0,0,0,0,0,0,0
200,,,,,,,,,,,,,
201,Advanced Stage~,All Years,,,,,,,,,,,2.0415337
202,Advanced Stage~,2016,0.3692815,3.2532122,5.5659838,7.7107501,7.255805,8.0208664,8.6857462,8.8452225,10.949175,9.4292049,2.9046233
203,Advanced Stage~,2017,0.46604118,3.7750893,4.9914851,6.4979548,7.819746,7.3259969,6.6644592,8.6318979,7.3958411,6.8639169,2.7212036
204,Advanced Stage~,2018,0.38887092,3.1433842,5.1291642,6.9926767,6.8650551,7.1140947,8.5148668,7.4543076,8.5773573,12.017401,2.7192738
205,Advanced Stage~,2019,0.30360129,2.9116178,4.6355715,5.5015144,7.6375089,7.4723802,7.5679135,8.850462,7.9055948,9.8593969,2.5552511
206,Advanced Stage~,2020,0.34624663,3.4359679,4.7456231,6.8249679,7.9313741,7.8296571,8.3718119,8.3479204,9.5491304,9.0199537,2.7744071
207,Advanced Stage~,2021,0.40472537,3.8166876,5.0612726,6.7837524,8.4005136,9.7601051,10.369833,10.531207,11.619637,11.74078,3.1698678
208,Advanced Stage~,2022,0,0,0,0,0,0,0,0,0,0,0
209,Advanced Stage~,2023,0,0,0,0,0,0,0,0,0,0,0
210,,,,,,,,,,,,,
211,Male/IMD1*,All Years,,,,,,,,,,,
212,Male/IMD1*,2016,1.5560311,13.11529,17.254038,25.309324,28.352079,32.094406,24.624477,30.099449,17.845591,9.8338089,9.7748928
213,Male/IMD1*,2017,1.599889,20.464104,25.897564,27.099947,41.012554,33.741859,18.962503,20.214512,21.89094,14.222054,11.394989
214,Male/IMD1*,2018,1.4673882,15.404057,20.452904,31.045656,28.966183,26.815228,31.999212,21.028038,13.016878,14.004294,10.240436
215,Male/IMD1*,2019,1.5162431,10.517609,23.954481,21.152988,34.739841,40.549335,33.919933,27.396009,19.264936,17.984802,10.936039
216,Male/IMD1*,2020,1.3117778,13.376822,16.752256,24.95706,29.128113,28.242678,24.801191,23.042803,19.297983,31.498898,9.5096388
217,Male/IMD1*,2021,1.4086263,17.179855,19.633665,39.114784,32.926479,39.810184,36.249104,23.047081,29.30442,10.546854,12.057569
218,Male/IMD1*,2022,0.97913462,11.384303,18.540504,26.195932,28.18111,24.601591,23.215584,28.385632,20.811113,15.134699,9.0528803
219,Male/IMD1*,2023,1.3656352,11.66891,20.633785,23.401699,28.628429,31.162016,27.708921,16.773329,28.61528,25.224499,9.7369881
220,,,,,,,,,,,,,
221,Male/IMD2*,All Years,,,,,,,,,,,
222,Male/IMD2*,2016,1.2573539,14.649272,20.44173,23.444477,27.766472,27.428711,17.103256,22.867369,23.097561,35.168613,9.3803711
223,Male/IMD2*,2017,1.3299253,10.999506,17.648438,20.382685,21.360252,24.203045,18.31241,19.458092,19.099213,18.875759,8.0304899
224,Male/IMD2*,2018,1.4525009,15.203041,13.890572,22.072069,21.270618,26.265413,30.498518,16.136841,18.984829,14.768322,8.7164221
225,Male/IMD2*,2019,1.1205201,9.0703192,14.669547,20.484404,24.150797,20.842651,32.145451,18.484972,20.230288,24.707916,8.1699266
226,Male/IMD2*,2020,1.422197,12.307429,16.27586,19.846342,26.997187,24.342331,19.443905,22.146555,16.724365,31.281498,8.5748339
227,Male/IMD2*,2021,1.3119392,11.323685,14.887766,21.547365,29.804556,27.862309,36.133919,23.025116,23.503462,37.159527,9.6309853
228,Male/IMD2*,2022,1.109471,8.9999428,15.044423,18.324085,23.134298,19.984921,34.250877,19.998095,17.673466,21.768312,8.0085106
229,Male/IMD2*,2023,1.2988929,8.7272167,10.308216,18.324085,17.949024,23.164339,21.692221,20.950386,30.044891,25.396364,7.4142079
230,,,,,,,,,,,,,
231,Male/IMD3*,All Years,,,,,,,,,,,
