id,table,diagnosisYear,ageSpecificIncidenceAge0_49,ageSpecificIncidenceAge50_54,ageSpecificIncidenceAge55_59,ageSpecificIncidenceAge60_64,ageSpecificIncidenceAge65_69,ageSpecificIncidenceAge70_74,ageSpecificIncidenceAge75_79,ageSpecificIncidenceAge80_84,ageSpecificIncidenceAge85_89,ageSpecificIncidenceAge90,ageStandardisedIncidence
1,All Oral Cavity,All Years,,,,,,,,,,,6.7479229
2,All Oral Cavity,2016,1.0226257,7.1519032,11.546455,14.977962,15.698924,17.973459,18.930473,18.508072,20.708221,20.908237,6.2753725
3,All Oral Cavity,2017,1.1054269,7.7797451,10.903189,13.126522,16.235617,16.384249,14.734702,17.668417,16.770851,18.774832,5.8977723
4,All Oral Cavity,2018,0.97927344,7.1045599,10.339744,13.697983,15.216359,16.599554,17.230083,16.623766,18.70484,22.232193,5.8632078
5,All Oral Cavity,2019,0.8994543,6.5189319,9.9068785,12.557129,18.081358,17.912762,18.943886,19.327847,20.068048,23.00526,6.0645046
6,All Oral Cavity,2020,0.80034059,6.8461018,9.9605932,12.894961,15.298739,16.424881,16.835621,17.944742,18.093088,20.342873,5.6481142
7,All Oral Cavity,2021,0.95195967,7.5817986,10.923052,14.419145,17.676083,21.146894,20.144676,21.325695,20.134026,23.083567,6.587873
8,All Oral Cavity,2022,0.78137797,6.2577338,10.040814,12.17867,14.979317,16.031187,15.924543,18.173906,16.268335,18.060356,5.439435
9,All Oral Cavity,2023,0.77573627,6.6766615,8.4960737,11.235251,14.053822,16.258579,15.802672,17.853943,17.826979,18.642948,5.2851043
,,,,,,,,,,,,,
11,Male~,All Years,,,,,,,,,,,8.2595701
12,Male~,2016,1.202866,9.7824678,14.367653,19.420788,19.516136,22.946165,21.743542,22.25193,19.134916,26.462027,7.7160454
13,Male~,2017,1.3097728,10.54518,13.880425,16.878119,20.305449,19.820639,16.676554,18.534218,15.597055,19.564623,7.1198902
14,Male~,2018,1.2403677,9.9462852,13.36164,18.575724,19.631411,19.456831,18.134584,17.031612,19.393246,20.914139,7.1396971
15,Male~,2019,1.0542537,8.8791761,13.001778,16.315916,22.54039,21.552431,23.07827,23.313522,18.058445,21.054657,7.3934426
16,Male~,2020,1.0192791,9.1122475,13.026225,15.92529,20.96941,20.859316,18.854622,20.46456,17.801275,21.232925,7.0032701
17,Male~,2021,1.0412623,9.7477789,12.767071,19.333611,22.216566,25.008053,24.203922,21.122475,22.774132,28.706848,7.9046035
18,Male~,2022,0.91620541,7.9297414,13.154453,17.103523,19.063644,19.50845,18.721739,19.754528,18.999544,20.095394,6.7478209
19,Male~,2023,1.0519396,8.2490597,10.481636,14.252936,18.149153,20.618687,19.155111,19.468231,20.406919,21.277475,6.5565262
20,,,,,,,,,,,,,
21,Female~,All Years,,,,,,,,,,,5.3287926
22,Female~,2016,0.83847058,4.5882974,8.7861061,10.706867,12.103925,13.426121,16.525272,15.634443,21.695713,18.504105,4.9455276
23,Female~,2017,0.89651692,5.085845,7.9941473,9.5018282,12.398749,13.203531,13.045603,16.97731,17.555721,18.426117,4.7285752
24,Female~,2018,0.71211565,4.3377142,7.3948169,8.9812613,11.060328,13.959566,16.438299,16.296196,18.23629,22.841213,4.6307588
25,Female~,2019,0.74090785,4.2208858,6.8970165,8.9241076,13.875294,14.559019,15.308831,16.11109,21.462912,23.928965,4.798624
26,Female~,2020,0.5753991,4.6397843,6.9864869,9.9701662,9.9407873,12.351408,15.05654,15.912334,18.297729,19.913574,4.3660951
27,Female~,2021,0.86330605,5.4833999,9.1407213,9.6567688,13.368674,17.618279,16.56196,21.489037,18.273075,20.210363,5.3761029
28,Female~,2022,0.64721036,4.638525,7.0342422,7.4200029,11.097726,12.848292,13.456995,16.896076,14.328366,17.064699,4.2209649
29,Female~,2023,0.50088453,5.1539164,6.5787873,8.319397,10.161773,12.267578,12.845313,16.548895,15.994455,17.353931,4.1063662
