id,table,diagnosisYear,ageSpecificIncidenceAge0_49,CILowerBound0_49,CIUpperBound0_49,ageSpecificIncidenceAge50_54,CILowerBound50_54,CIUpperBound50_54,ageSpecificIncidenceAge55_59,CILowerBound55_59,CIUpperBound55_59,ageSpecificIncidenceAge60_64,CILowerBound60_64,CIUpperBound60_64,ageSpecificIncidenceAge65_69,CILowerBound65_69,CIUpperBound65_69,ageSpecificIncidenceAge70_74,CILowerBound70_74,CIUpperBound70_74,ageSpecificIncidenceAge75_79,CILowerBound75_79,CIUpperBound75_79,ageSpecificIncidenceAge80_84,CILowerBound80_84,CIUpperBound80_84,ageSpecificIncidenceAge85_89,CILowerBound85_89,CIUpperBound85_89,ageSpecificIncidenceAge90,CILowerBound90,CIUpperBound90,ageStandardisedIncidence,CILowerBoundAS,CIUpperBoundAS
12,Male~,2017,4.0192599,3.7246487,4.3138709,39.13089,36.343307,41.918472,53.546844,50.139965,56.953724,68.176971,64.005203,72.34874,76.018974,71.425194,80.612755,69.297157,64.826508,73.767807,63.684288,58.451511,68.917068,61.679443,55.679688,67.679199,47.830971,40.919724,54.742218,61.954636,49.496071,74.4132,25.834343,25.211088,26.457598
13,Male~,2018,3.9624414,3.6701496,4.2547331,39.008087,36.221882,41.794292,54.546284,51.151867,57.940701,69.691437,65.521439,73.861435,74.949661,70.365707,79.533615,69.941406,65.491432,74.39138,62.988171,57.892563,68.083778,55.98217,50.338524,61.625816,58.434914,50.866398,66.003433,60.841129,48.670368,73.011887,25.897968,25.278831,26.517105
14,Male~,2019,3.7852194,3.4996607,4.0707779,38.441612,35.664337,41.218887,54.747154,51.385674,58.108635,66.844666,62.81485,70.874481,84.453278,79.580574,89.325981,75.43351,70.840042,80.026978,72.634735,67.272995,77.996475,69.503433,63.266041,75.740829,52.938454,45.845608,60.0313,65.570221,53.260464,77.879974,27.078501,26.449455,27.707546
15,Male~,2020,3.5954792,3.3173509,3.8736076,37.391636,34.648918,40.134354,56.446976,53.058392,59.83556,64.070084,60.179832,67.960335,75.098061,70.522812,79.673309,74.134155,69.584541,78.683769,62.161327,57.318771,67.003883,54.47401,48.923351,60.02467,49.746029,42.91951,56.572548,50.723099,40.002659,61.443539,25.262741,24.66069,25.864792
16,Male~,2021,3.7473998,3.4604106,4.034389,39.148338,36.340908,41.955769,56.795078,53.409336,60.18082,74.052505,69.932388,78.172623,88.866264,83.911949,93.82058,90.973564,85.771782,96.175346,80.589088,75.291458,85.886719,70.457489,64.134476,76.780502,62.992279,55.335312,70.649246,74.515648,61.292843,87.738457,29.272491,28.623436,29.921547
17,Male~,2022,3.1218853,2.8614478,3.3823228,31.452868,28.917023,33.988712,50.99316,47.789021,54.1973,61.956642,58.235561,65.677727,69.99382,65.644669,74.342972,73.751457,69.011383,78.491531,64.052612,59.434433,68.670792,64.703239,58.738205,70.668274,55.356697,48.294006,62.419388,62.650345,50.723473,74.577217,24.311777,23.724264,24.89929
18,Male~,2023,3.2067189,2.9427667,3.4706712,31.718966,29.172417,34.265514,47.901077,44.795601,51.006554,62.480221,58.74345,66.216995,72.244881,67.826347,76.663414,71.451683,66.786095,76.117271,65.006035,60.353611,69.658455,66.850471,60.78727,72.913673,59.344257,52.031612,66.656906,60.286182,48.58651,71.985855,24.34939,23.76158,24.937201
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Female~, All Years,2.4029379,2.3160915,2.4897842,15.972295,15.304704,16.639887,22.944014,22.126642,23.761385,28.430622,27.454958,29.406286,32.460285,31.362862,33.557709,33.391773,32.255222,34.528324,34.453556,33.157318,35.749794,34.453083,32.945747,35.960419,35.246494,33.411278,37.081711,36.460529,34.051525,38.869534,12.368728,12.215239,12.522217
20,Female~,2016,2.3258944,2.0993681,2.5524206,13.102138,11.500252,14.704023,20.618061,18.464127,22.771996,26.365662,23.762228,28.969095,28.17845,25.545475,30.811424,29.424911,26.410305,32.439518,32.224281,28.648573,35.799988,27.852957,24.103577,31.602337,34.6744,29.594696,39.754105,31.427607,25.472692,37.382519,11.098806,10.70137,11.496243
21,Female~,2017,2.2470391,2.0243092,2.469769,13.293694,11.69008,14.897307,18.965425,16.961233,20.969618,25.87322,23.347099,28.399342,29.429998,26.654734,32.205265,27.8664,25.138899,30.593901,27.162113,23.974854,30.349373,28.133829,24.513559,31.754099,29.375416,24.946507,33.804325,28.370371,22.724445,34.016296,10.612534,10.231814,10.993253
22,Female~,2018,2.3143759,2.0884128,2.540339,14.12279,12.468554,15.777027,20.576881,18.518764,22.634998,24.93399,22.481245,27.386736,26.929495,24.263611,29.595379,29.417233,26.643171,32.191292,31.091869,27.7423,34.441437,29.023882,25.382078,32.665688,33.346359,28.62949,38.063229,34.847492,28.586342,41.108643,11.003827,10.619294,11.38836
23,Female~,2019,2.2112367,1.9903544,2.4321191,14.34084,12.66703,16.01465,19.489296,17.511425,21.467167,24.938601,22.518698,27.358503,31.616341,28.720764,34.511917,29.654778,26.890131,32.419422,29.621229,26.410637,32.831821,29.399797,25.755362,33.044235,33.82555,29.102007,38.549091,37.032921,30.666838,43.399006,11.135028,10.750542,11.519514
24,Female~,2020,1.7722292,1.5743042,1.9701542,14.27626,12.604048,15.948473,19.212839,17.265633,21.160046,25.459532,23.050304,27.868759,28.314104,25.583342,31.044867,28.374855,25.677145,31.072565,29.507357,26.375448,32.639267,28.02471,24.449173,31.600246,29.926193,25.492266,34.360119,32.999638,26.994316,39.004959,10.492624,10.121599,10.863649
25,Female~,2021,2.2037022,1.9844252,2.4229794,15.5363,13.795524,17.277077,22.801022,20.691971,24.910072,26.194708,23.782469,28.606947,30.556969,27.727354,33.386585,34.953529,31.871168,38.035892,33.283939,30.085455,36.482422,37.279324,33.155888,41.40276,31.422857,26.882471,35.963245,31.340708,25.40226,37.279156,11.961948,11.567469,12.356428
