diagnosisYear,ageBand,sex,dep,region,stage,route,count,rate,ciLb,ciUb
2017,0-49,All Persons,All IMD Quintiles,East of England,All Stages,All Routes,SUPPRESSED; n<10,0.2,0,0.3
2018,0-49,All Persons,All IMD Quintiles,East of England,All Stages,All Routes,15,0.4,0.2,0.6
2019,0-49,All Persons,All IMD Quintiles,East of England,All Stages,All Routes,10,0.3,0.1,0.4
2020,0-49,All Persons,All IMD Quintiles,East of England,All Stages,All Routes,10,0.3,0.1,0.5
2021,0-49,All Persons,All IMD Quintiles,East of England,All Stages,All Routes,10,0.3,0.1,0.5
2022,0-49,All Persons,All IMD Quintiles,East of England,All Stages,All Routes,SUPPRESSED; n<10,0.2,0.1,0.4
2023,0-49,All Persons,All IMD Quintiles,East of England,All Stages,All Routes,SUPPRESSED; n<10,0.2,0.1,0.4
allyears,0-49,All Persons,All IMD Quintiles,East of England,All Stages,All Routes,55,0.3,0.2,0.4
2016,0-49,All Persons,All IMD Quintiles,East of England,All Stages,Emergency,SUPPRESSED; n<10,0.1,0,0.1
2017,0-49,All Persons,All IMD Quintiles,East of England,All Stages,Emergency,SUPPRESSED; n<10,0.1,0,0.1
2018,0-49,All Persons,All IMD Quintiles,East of England,All Stages,Emergency,SUPPRESSED; n<10,0.1,0,0.1
2019,0-49,All Persons,All IMD Quintiles,East of England,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A
2020,0-49,All Persons,All IMD Quintiles,East of England,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A
2021,0-49,All Persons,All IMD Quintiles,East of England,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A
2022,0-49,All Persons,All IMD Quintiles,East of England,All Stages,Emergency,SUPPRESSED; n<10,0,0,0.1
2023,0-49,All Persons,All IMD Quintiles,East of England,All Stages,Emergency,SUPPRESSED; n<10,0,0,0.1
allyears,0-49,All Persons,All IMD Quintiles,East of England,All Stages,Emergency,0,0,0,0.1
2016,0-49,All Persons,All IMD Quintiles,East of England,All Stages,Non-emergency,10,0.3,0.1,0.4
2017,0-49,All Persons,All IMD Quintiles,East of England,All Stages,Non-emergency,SUPPRESSED; n<10,0.1,0,0.2
2018,0-49,All Persons,All IMD Quintiles,East of England,All Stages,Non-emergency,10,0.3,0.1,0.5
2019,0-49,All Persons,All IMD Quintiles,East of England,All Stages,Non-emergency,#N/A,#N/A,#N/A,#N/A
