quarterYear,survival,ciLb,ciUb,sex,dep,region,route,stage,ageBand,diagnosisYear
0,1,1,1,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
.25,.94,.94,.94999999,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
.5,.89999998,.88999999,.89999998,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
.75,.86000001,.86000001,.87,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
1,.82999998,.81999999,.82999998,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
1.25,.80000001,.80000001,.81,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
1.5,.77999997,.77999997,.79000002,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
1.75,.76999998,.75999999,.76999998,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
2,.75,.74000001,.75999999,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
2.25,.74000001,.73000002,.74000001,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
2.5,.72000003,.72000003,.73000002,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
2.75,.70999998,.70999998,.72000003,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
3,.69999999,.69,.70999998,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
3.25,.69,.68000001,.69999999,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
3.5,.68000001,.67000002,.69,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
3.75,.67000002,.67000002,.68000001,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
4,.66000003,.66000003,.67000002,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
4.25,.66000003,.64999998,.66000003,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
4.5,.64999998,.63999999,.66000003,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
4.75,.63999999,.63,.64999998,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
5,.63,.63,.63999999,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
0,1,1,1,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
.25,.94,.94,.94999999,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
.5,.89999998,.88999999,.89999998,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
.75,.87,.86000001,.87,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
1,.82999998,.82999998,.83999997,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
1.25,.81,.80000001,.81,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
1.5,.79000002,.77999997,.79000002,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
1.75,.76999998,.75999999,.77999997,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
2,.75,.75,.75999999,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
2.25,.74000001,.73000002,.75,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
2.5,.73000002,.72000003,.73000002,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
2.75,.70999998,.70999998,.72000003,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
3,.69999999,.69,.70999998,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
3.25,.69,.68000001,.69999999,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
3.5,.68000001,.67000002,.69,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
3.75,.67000002,.67000002,.68000001,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
4,.66000003,.64999998,.67000002,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
4.25,.66000003,.64999998,.66000003,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
4.5,.64999998,.63999999,.66000003,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
4.75,.63999999,.63,.64999998,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
5,.63,.62,.63999999,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
0,1,1,1,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
.25,.94,.93000001,.94999999,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
.5,.88999999,.88,.89999998,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
.75,.85000002,.83999997,.86000001,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
1,.81999999,.81,.82999998,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
1.25,.79000002,.77999997,.81,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
1.5,.76999998,.75999999,.79000002,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
1.75,.75999999,.74000001,.76999998,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
2,.74000001,.73000002,.75,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
2.25,.73000002,.72000003,.74000001,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
2.5,.72000003,.69999999,.73000002,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
2.75,.70999998,.69,.72000003,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
3,.69999999,.68000001,.70999998,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
3.25,.69,.67000002,.69999999,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
3.5,.68000001,.66000003,.69,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
3.75,.67000002,.64999998,.68000001,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
4,.66000003,.64999998,.68000001,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
4.25,.66000003,.63999999,.67000002,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
4.5,.64999998,.63,.66000003,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
4.75,.63999999,.63,.66000003,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
5,.63,.62,.64999998,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
0,1,1,1,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,All Years
.25,.92000002,.91000003,.93000001,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,All Years
.5,.85000002,.83999997,.87,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,All Years
.75,.81,.79000002,.81999999,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,All Years
1,.75999999,.75,.77999997,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,All Years
1.25,.73000002,.72000003,.74000001,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,All Years
1.5,.69999999,.69,.72000003,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,All Years
1.75,.68000001,.66000003,.69,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,All Years
2,.66000003,.64999998,.68000001,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,All Years
2.25,.64999998,.63,.66000003,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,All Years
2.5,.63,.62,.64999998,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,All Years
2.75,.62,.60000002,.63,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,All Years
3,.60000002,.58999997,.62,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,All Years
3.25,.58999997,.56999999,.60000002,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,All Years
3.5,.57999998,.56,.58999997,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,All Years
3.75,.56999999,.55000001,.58999997,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,All Years
4,.56,.55000001,.57999998,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,All Years
4.25,.56,.54000002,.56999999,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,All Years
4.5,.54000002,.52999997,.56,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,All Years
4.75,.54000002,.51999998,.56,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,All Years
5,.52999997,.50999999,.55000001,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,All Years
0,1,1,1,All Persons,IMD Q2,All Regions,All Routes,All Stages,All Ages,All Years
.25,.94,.93000001,.94999999,All Persons,IMD Q2,All Regions,All Routes,All Stages,All Ages,All Years
.5,.88999999,.88,.89999998,All Persons,IMD Q2,All Regions,All Routes,All Stages,All Ages,All Years
.75,.85000002,.83999997,.86000001,All Persons,IMD Q2,All Regions,All Routes,All Stages,All Ages,All Years
1,.81999999,.81,.82999998,All Persons,IMD Q2,All Regions,All Routes,All Stages,All Ages,All Years
1.25,.79000002,.77999997,.81,All Persons,IMD Q2,All Regions,All Routes,All Stages,All Ages,All Years
1.5,.76999998,.75999999,.79000002,All Persons,IMD Q2,All Regions,All Routes,All Stages,All Ages,All Years
1.75,.75,.74000001,.76999998,All Persons,IMD Q2,All Regions,All Routes,All Stages,All Ages,All Years
2,.73000002,.72000003,.75,All Persons,IMD Q2,All Regions,All Routes,All Stages,All Ages,All Years
2.25,.72000003,.69999999,.73000002,All Persons,IMD Q2,All Regions,All Routes,All Stages,All Ages,All Years
2.5,.69999999,.68000001,.70999998,All Persons,IMD Q2,All Regions,All Routes,All Stages,All Ages,All Years
2.75,.68000001,.67000002,.69999999,All Persons,IMD Q2,All Regions,All Routes,All Stages,All Ages,All Years
3,.67000002,.66000003,.69,All Persons,IMD Q2,All Regions,All Routes,All Stages,All Ages,All Years
3.25,.66000003,.64999998,.68000001,All Persons,IMD Q2,All Regions,All Routes,All Stages,All Ages,All Years
3.5,.64999998,.63999999,.67000002,All Persons,IMD Q2,All Regions,All Routes,All Stages,All Ages,All Years
3.75,.63999999,.62,.66000003,All Persons,IMD Q2,All Regions,All Routes,All Stages,All Ages,All Years
4,.63,.61000001,.64999998,All Persons,IMD Q2,All Regions,All Routes,All Stages,All Ages,All Years
4.25,.62,.60000002,.63999999,All Persons,IMD Q2,All Regions,All Routes,All Stages,All Ages,All Years
4.5,.62,.60000002,.63,All Persons,IMD Q2,All Regions,All Routes,All Stages,All Ages,All Years
4.75,.61000001,.58999997,.63,All Persons,IMD Q2,All Regions,All Routes,All Stages,All Ages,All Years
5,.60000002,.57999998,.62,All Persons,IMD Q2,All Regions,All Routes,All Stages,All Ages,All Years
0,1,1,1,All Persons,IMD Q3,All Regions,All Routes,All Stages,All Ages,All Years
.25,.94,.94,.94999999,All Persons,IMD Q3,All Regions,All Routes,All Stages,All Ages,All Years
.5,.89999998,.88999999,.91000003,All Persons,IMD Q3,All Regions,All Routes,All Stages,All Ages,All Years
.75,.87,.86000001,.88,All Persons,IMD Q3,All Regions,All Routes,All Stages,All Ages,All Years
1,.83999997,.82999998,.85000002,All Persons,IMD Q3,All Regions,All Routes,All Stages,All Ages,All Years
1.25,.81999999,.80000001,.82999998,All Persons,IMD Q3,All Regions,All Routes,All Stages,All Ages,All Years
1.5,.80000001,.77999997,.81,All Persons,IMD Q3,All Regions,All Routes,All Stages,All Ages,All Years
1.75,.77999997,.76999998,.79000002,All Persons,IMD Q3,All Regions,All Routes,All Stages,All Ages,All Years
2,.75999999,.75,.77999997,All Persons,IMD Q3,All Regions,All Routes,All Stages,All Ages,All Years
2.25,.75,.74000001,.75999999,All Persons,IMD Q3,All Regions,All Routes,All Stages,All Ages,All Years
2.5,.74000001,.73000002,.75999999,All Persons,IMD Q3,All Regions,All Routes,All Stages,All Ages,All Years
2.75,.74000001,.72000003,.75,All Persons,IMD Q3,All Regions,All Routes,All Stages,All Ages,All Years
3,.72000003,.70999998,.74000001,All Persons,IMD Q3,All Regions,All Routes,All Stages,All Ages,All Years
3.25,.70999998,.69,.73000002,All Persons,IMD Q3,All Regions,All Routes,All Stages,All Ages,All Years
3.5,.69999999,.69,.72000003,All Persons,IMD Q3,All Regions,All Routes,All Stages,All Ages,All Years
3.75,.69999999,.68000001,.70999998,All Persons,IMD Q3,All Regions,All Routes,All Stages,All Ages,All Years
4,.68000001,.67000002,.69999999,All Persons,IMD Q3,All Regions,All Routes,All Stages,All Ages,All Years
4.25,.68000001,.66000003,.69,All Persons,IMD Q3,All Regions,All Routes,All Stages,All Ages,All Years
4.5,.67000002,.64999998,.69,All Persons,IMD Q3,All Regions,All Routes,All Stages,All Ages,All Years
4.75,.66000003,.64999998,.68000001,All Persons,IMD Q3,All Regions,All Routes,All Stages,All Ages,All Years
5,.66000003,.63999999,.68000001,All Persons,IMD Q3,All Regions,All Routes,All Stages,All Ages,All Years
0,1,1,1,All Persons,IMD Q4,All Regions,All Routes,All Stages,All Ages,All Years
.25,.94999999,.94,.95999998,All Persons,IMD Q4,All Regions,All Routes,All Stages,All Ages,All Years
.5,.91000003,.89999998,.92000002,All Persons,IMD Q4,All Regions,All Routes,All Stages,All Ages,All Years
.75,.88,.87,.88999999,All Persons,IMD Q4,All Regions,All Routes,All Stages,All Ages,All Years
1,.85000002,.83999997,.86000001,All Persons,IMD Q4,All Regions,All Routes,All Stages,All Ages,All Years
1.25,.82999998,.81999999,.83999997,All Persons,IMD Q4,All Regions,All Routes,All Stages,All Ages,All Years
1.5,.81,.80000001,.82999998,All Persons,IMD Q4,All Regions,All Routes,All Stages,All Ages,All Years
1.75,.80000001,.79000002,.81,All Persons,IMD Q4,All Regions,All Routes,All Stages,All Ages,All Years
2,.79000002,.77999997,.80000001,All Persons,IMD Q4,All Regions,All Routes,All Stages,All Ages,All Years
2.25,.77999997,.75999999,.79000002,All Persons,IMD Q4,All Regions,All Routes,All Stages,All Ages,All Years
2.5,.76999998,.75,.77999997,All Persons,IMD Q4,All Regions,All Routes,All Stages,All Ages,All Years
2.75,.75999999,.74000001,.76999998,All Persons,IMD Q4,All Regions,All Routes,All Stages,All Ages,All Years
3,.75,.73000002,.75999999,All Persons,IMD Q4,All Regions,All Routes,All Stages,All Ages,All Years
3.25,.74000001,.73000002,.75999999,All Persons,IMD Q4,All Regions,All Routes,All Stages,All Ages,All Years
3.5,.73000002,.72000003,.75,All Persons,IMD Q4,All Regions,All Routes,All Stages,All Ages,All Years
3.75,.72000003,.70999998,.74000001,All Persons,IMD Q4,All Regions,All Routes,All Stages,All Ages,All Years
4,.70999998,.69999999,.73000002,All Persons,IMD Q4,All Regions,All Routes,All Stages,All Ages,All Years
4.25,.70999998,.69,.72000003,All Persons,IMD Q4,All Regions,All Routes,All Stages,All Ages,All Years
4.5,.69999999,.68000001,.72000003,All Persons,IMD Q4,All Regions,All Routes,All Stages,All Ages,All Years
4.75,.69,.67000002,.70999998,All Persons,IMD Q4,All Regions,All Routes,All Stages,All Ages,All Years
5,.68000001,.67000002,.69999999,All Persons,IMD Q4,All Regions,All Routes,All Stages,All Ages,All Years
0,1,1,1,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
.25,.95999998,.95999998,.97000003,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
.5,.93000001,.93000001,.94,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
.75,.91000003,.89999998,.92000002,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
1,.88,.87,.88999999,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
1.25,.87,.86000001,.88,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
1.5,.85000002,.83999997,.86000001,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
1.75,.83999997,.81999999,.85000002,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
2,.81999999,.81,.82999998,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
2.25,.81,.79000002,.81999999,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
2.5,.80000001,.77999997,.81,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
2.75,.79000002,.76999998,.80000001,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
3,.77999997,.75999999,.79000002,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
3.25,.76999998,.75,.77999997,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
3.5,.75999999,.74000001,.77999997,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
3.75,.75,.74000001,.76999998,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
4,.74000001,.73000002,.75999999,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
4.25,.74000001,.72000003,.75999999,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
4.5,.73000002,.70999998,.75,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
4.75,.72000003,.69999999,.74000001,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
5,.70999998,.69,.73000002,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
0,1,1,1,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
.25,.94,.93000001,.95999998,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
.5,.89999998,.88,.91000003,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
.75,.86000001,.83999997,.88,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
1,.81999999,.81,.83999997,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
1.25,.81,.79000002,.82999998,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
1.5,.80000001,.77999997,.81999999,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
1.75,.77999997,.76999998,.80000001,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
2,.76999998,.75,.79000002,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
2.25,.75999999,.74000001,.77999997,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
2.5,.74000001,.72000003,.75999999,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
2.75,.73000002,.70999998,.75,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
3,.72000003,.69,.74000001,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
3.25,.69999999,.68000001,.73000002,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
3.5,.69999999,.67000002,.72000003,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
3.75,.69,.66000003,.70999998,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
4,.67000002,.64999998,.69999999,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
4.25,.67000002,.63999999,.69,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
4.5,.66000003,.63,.68000001,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
4.75,.64999998,.63,.68000001,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
5,.64999998,.62,.68000001,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
0,1,1,1,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
.25,.94999999,.94,.95999998,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
.5,.91000003,.89999998,.92000002,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
.75,.88,.86000001,.88999999,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
1,.85000002,.82999998,.86000001,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
1.25,.81999999,.81,.83999997,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
1.5,.81,.79000002,.82999998,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
1.75,.79000002,.76999998,.81,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
2,.76999998,.75,.79000002,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
2.25,.75999999,.74000001,.77999997,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
2.5,.75,.73000002,.76999998,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
2.75,.74000001,.72000003,.75999999,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
3,.73000002,.70999998,.75,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
3.25,.72000003,.69999999,.74000001,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
3.5,.70999998,.69,.73000002,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
3.75,.69999999,.68000001,.73000002,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
4,.69999999,.68000001,.72000003,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
4.25,.69,.66000003,.70999998,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
4.5,.67000002,.64999998,.69999999,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
4.75,.67000002,.64999998,.69999999,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
5,.67000002,.63999999,.69,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
0,1,1,1,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
.25,.94,.93000001,.94999999,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
.5,.88999999,.87,.89999998,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
.75,.83999997,.81999999,.86000001,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
1,.80000001,.79000002,.81999999,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
1.25,.76999998,.75999999,.79000002,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
1.5,.75,.73000002,.76999998,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
1.75,.74000001,.70999998,.75999999,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
2,.70999998,.69,.73000002,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
2.25,.69999999,.68000001,.72000003,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
2.5,.69,.66000003,.70999998,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
2.75,.68000001,.64999998,.69999999,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
3,.67000002,.64999998,.69,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
3.25,.66000003,.63,.68000001,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
3.5,.64999998,.63,.67000002,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
3.75,.63999999,.62,.66000003,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
4,.63,.61000001,.66000003,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
4.25,.63,.61000001,.66000003,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
4.5,.62,.60000002,.64999998,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
4.75,.62,.58999997,.63999999,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
5,.61000001,.57999998,.63,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
0,1,1,1,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
.25,.93000001,.92000002,.94,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
.5,.88,.87,.89999998,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
.75,.85000002,.82999998,.87,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
1,.81,.79000002,.82999998,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
1.25,.77999997,.75999999,.80000001,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
1.5,.75999999,.73000002,.77999997,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
1.75,.73000002,.70999998,.75999999,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
2,.72000003,.69,.74000001,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
2.25,.70999998,.69,.74000001,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
2.5,.69999999,.67000002,.72000003,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
2.75,.69,.66000003,.72000003,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
3,.68000001,.66000003,.70999998,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
3.25,.68000001,.64999998,.69999999,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
3.5,.66000003,.63999999,.69,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
3.75,.66000003,.63,.69,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
4,.64999998,.62,.68000001,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
4.25,.63999999,.61000001,.67000002,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
4.5,.63,.60000002,.66000003,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
4.75,.63,.58999997,.66000003,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
5,.63,.58999997,.66000003,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
0,1,1,1,All Persons,All IMD Quintiles,North West,All Routes,All Stages,All Ages,All Years
.25,.94,.93000001,.94999999,All Persons,All IMD Quintiles,North West,All Routes,All Stages,All Ages,All Years
.5,.88999999,.88,.89999998,All Persons,All IMD Quintiles,North West,All Routes,All Stages,All Ages,All Years
.75,.85000002,.83999997,.86000001,All Persons,All IMD Quintiles,North West,All Routes,All Stages,All Ages,All Years
1,.81999999,.81,.82999998,All Persons,All IMD Quintiles,North West,All Routes,All Stages,All Ages,All Years
1.25,.79000002,.77999997,.81,All Persons,All IMD Quintiles,North West,All Routes,All Stages,All Ages,All Years
