diagnosisYear,ageBand,sex,dep,region,stage,route,count,rate,ciLb,ciUb
2016,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,370,1.1,0.9,1.2
2017,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,350,1.0,0.9,1.1
2018,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,340,1.0,0.9,1.1
2019,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,360,1.0,0.9,1.1
2020,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,340,1.0,0.9,1.1
2021,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,315,0.9,0.8,1.0
2022,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,280,0.8,0.7,0.9
2023,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,275,0.8,0.7,0.9
allyears,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,2630,1.1,1.0,1.1
2016,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Emergency,25,0.1,0.0,0.1
2017,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Emergency,SUPPRESSED; n<10,0.0,0.0,0.0
2018,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Emergency,25,0.1,0.0,0.1
2019,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A
2020,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A
2021,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A
2022,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Emergency,20,0.1,0.0,0.1
2023,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Emergency,25,0.1,0.0,0.1
allyears,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Emergency,95,0.0,0.0,0.0
2016,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Non-emergency,335,0.9,0.8,1.1
2017,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Non-emergency,330,0.9,0.8,1.0
2018,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Non-emergency,305,0.9,0.8,1.0
2019,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Non-emergency,#N/A,#N/A,#N/A,#N/A
2020,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Non-emergency,#N/A,#N/A,#N/A,#N/A
2021,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Non-emergency,#N/A,#N/A,#N/A,#N/A
2022,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Non-emergency,250,0.7,0.6,0.8
2023,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Non-emergency,250,0.7,0.6,0.8
allyears,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Non-emergency,1470,0.6,0.6,0.6
2016,0-49,All Persons,All IMD Quintiles,All Regions,Early,All Routes,35,0.1,0.1,0.1
2017,0-49,All Persons,All IMD Quintiles,All Regions,Early,All Routes,45,0.1,0.1,0.2
