diagnosisYear,ageBand,sex,dep,region,stage,route,count,rate,ciLb,ciUb
2016,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,SUPPRESSED; n<10,0.8,0.7,0.9
2017,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,SUPPRESSED; n<10,0.8,0.7,0.8
2018,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,SUPPRESSED; n<10,0.9,0.8,1
2019,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,SUPPRESSED; n<10,0.8,0.7,0.9
2020,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,SUPPRESSED; n<10,0.7,0.6,0.8
2021,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,SUPPRESSED; n<10,0.8,0.8,0.9
2022,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,SUPPRESSED; n<10,0.7,0.6,0.8
2023,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,SUPPRESSED; n<10,0.6,0.5,0.7
allyears,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,0,0.9,0.9,0.9
2016,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Emergency,35,0.1,0.1,0.1
2017,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Emergency,20,0.1,0,0.1
2018,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Emergency,25,0.1,0,0.1
2019,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A
2020,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A
2021,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A
2022,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Emergency,40,0.1,0.1,0.1
2023,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Emergency,25,0.1,0,0.1
allyears,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Emergency,145,0.1,0,0.1
2016,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Non-emergency,245,0.7,0.6,0.8
2017,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Non-emergency,230,0.6,0.6,0.7
2018,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Non-emergency,265,0.7,0.7,0.8
2019,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Non-emergency,#N/A,#N/A,#N/A,#N/A
2020,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Non-emergency,#N/A,#N/A,#N/A,#N/A
2021,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Non-emergency,#N/A,#N/A,#N/A,#N/A
2022,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Non-emergency,220,0.6,0.5,0.7
2023,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Non-emergency,195,0.5,0.5,0.6
allyears,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Non-emergency,1155,0.5,0.4,0.5
2016,0-49,All Persons,All IMD Quintiles,All Regions,Early,All Routes,95,0.3,0.2,0.3
2017,0-49,All Persons,All IMD Quintiles,All Regions,Early,All Routes,80,0.2,0.2,0.3
2018,0-49,All Persons,All IMD Quintiles,All Regions,Early,All Routes,100,0.3,0.2,0.3
2019,0-49,All Persons,All IMD Quintiles,All Regions,Early,All Routes,75,0.2,0.2,0.3
2020,0-49,All Persons,All IMD Quintiles,All Regions,Early,All Routes,75,0.2,0.2,0.3
2021,0-49,All Persons,All IMD Quintiles,All Regions,Early,All Routes,105,0.3,0.2,0.4
2022,0-49,All Persons,All IMD Quintiles,All Regions,Early,All Routes,#N/A,#N/A,#N/A,#N/A
2023,0-49,All Persons,All IMD Quintiles,All Regions,Early,All Routes,#N/A,#N/A,#N/A,#N/A
allyears,0-49,All Persons,All IMD Quintiles,All Regions,Early,All Routes,530,0.3,0.3,0.3
2016,0-49,All Persons,All IMD Quintiles,All Regions,Advanced,All Routes,140,0.4,0.3,0.5
2017,0-49,All Persons,All IMD Quintiles,All Regions,Advanced,All Routes,115,0.3,0.3,0.4
2018,0-49,All Persons,All IMD Quintiles,All Regions,Advanced,All Routes,155,0.4,0.4,0.5
2019,0-49,All Persons,All IMD Quintiles,All Regions,Advanced,All Routes,115,0.3,0.3,0.4
2020,0-49,All Persons,All IMD Quintiles,All Regions,Advanced,All Routes,125,0.3,0.3,0.4
2021,0-49,All Persons,All IMD Quintiles,All Regions,Advanced,All Routes,135,0.4,0.3,0.4
2022,0-49,All Persons,All IMD Quintiles,All Regions,Advanced,All Routes,#N/A,#N/A,#N/A,#N/A
2023,0-49,All Persons,All IMD Quintiles,All Regions,Advanced,All Routes,#N/A,#N/A,#N/A,#N/A
allyears,0-49,All Persons,All IMD Quintiles,All Regions,Advanced,All Routes,785,0.2,0.2,0.2
2016,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,All Routes,20,0.8,0.4,1.1
2017,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,All Routes,20,0.7,0.4,1
2018,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,All Routes,30,1,0.6,1.3
2019,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,All Routes,30,1.1,0.7,1.5
2020,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,All Routes,25,0.8,0.5,1.1
2021,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,All Routes,20,0.7,0.4,1
2022,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,All Routes,15,0.5,0.3,0.8
2023,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,All Routes,15,0.5,0.2,0.8
allyears,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,All Routes,175,0.9,0.7,1
2016,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,Emergency,SUPPRESSED; n<10,0.1,0,0.2
2017,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,Emergency,SUPPRESSED; n<10,0.1,0,0.2
2018,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,Emergency,SUPPRESSED; n<10,0.1,0,0.2
2019,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A
2020,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A
2021,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A
2022,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,Emergency,SUPPRESSED; n<10,0.1,0,0.2
2023,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,Emergency,SUPPRESSED; n<10,0,0,0.1
allyears,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,Emergency,0,0.1,0,0.1
2016,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,Non-emergency,20,0.7,0.4,1
2017,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,Non-emergency,15,0.6,0.3,0.9
2018,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,Non-emergency,25,0.8,0.5,1.2
2019,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,Non-emergency,#N/A,#N/A,#N/A,#N/A
2020,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,Non-emergency,#N/A,#N/A,#N/A,#N/A
2021,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,Non-emergency,#N/A,#N/A,#N/A,#N/A
2022,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,Non-emergency,15,0.5,0.2,0.7
2023,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,Non-emergency,15,0.5,0.2,0.7
allyears,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,Non-emergency,90,0.4,0.3,0.5
2016,0-49,All Persons,All IMD Quintiles,East Midlands,Early,All Routes,10,0.3,0.1,0.6
2017,0-49,All Persons,All IMD Quintiles,East Midlands,Early,All Routes,SUPPRESSED; n<10,0.2,0,0.4
2018,0-49,All Persons,All IMD Quintiles,East Midlands,Early,All Routes,SUPPRESSED; n<10,0.3,0.1,0.5
2019,0-49,All Persons,All IMD Quintiles,East Midlands,Early,All Routes,SUPPRESSED; n<10,0.2,0.1,0.4
2020,0-49,All Persons,All IMD Quintiles,East Midlands,Early,All Routes,SUPPRESSED; n<10,0,0,0.1
2021,0-49,All Persons,All IMD Quintiles,East Midlands,Early,All Routes,SUPPRESSED; n<10,0.2,0,0.4
2022,0-49,All Persons,All IMD Quintiles,East Midlands,Early,All Routes,#N/A,#N/A,#N/A,#N/A
2023,0-49,All Persons,All IMD Quintiles,East Midlands,Early,All Routes,#N/A,#N/A,#N/A,#N/A
allyears,0-49,All Persons,All IMD Quintiles,East Midlands,Early,All Routes,10,0.3,0.2,0.4
2016,0-49,All Persons,All IMD Quintiles,East Midlands,Advanced,All Routes,SUPPRESSED; n<10,0.1,0,0.3
2017,0-49,All Persons,All IMD Quintiles,East Midlands,Advanced,All Routes,10,0.4,0.2,0.6
2018,0-49,All Persons,All IMD Quintiles,East Midlands,Advanced,All Routes,15,0.5,0.3,0.8
2019,0-49,All Persons,All IMD Quintiles,East Midlands,Advanced,All Routes,SUPPRESSED; n<10,0.3,0.1,0.5
2020,0-49,All Persons,All IMD Quintiles,East Midlands,Advanced,All Routes,15,0.4,0.2,0.7
2021,0-49,All Persons,All IMD Quintiles,East Midlands,Advanced,All Routes,10,0.4,0.2,0.6
2022,0-49,All Persons,All IMD Quintiles,East Midlands,Advanced,All Routes,#N/A,#N/A,#N/A,#N/A
2023,0-49,All Persons,All IMD Quintiles,East Midlands,Advanced,All Routes,#N/A,#N/A,#N/A,#N/A
allyears,0-49,All Persons,All IMD Quintiles,East Midlands,Advanced,All Routes,50,0.2,0.1,0.2
2016,0-49,All Persons,All IMD Quintiles,East of England,All Stages,All Routes,20,0.5,0.3,0.8
2017,0-49,All Persons,All IMD Quintiles,East of England,All Stages,All Routes,25,0.6,0.4,0.8
2018,0-49,All Persons,All IMD Quintiles,East of England,All Stages,All Routes,35,0.9,0.6,1.2
2019,0-49,All Persons,All IMD Quintiles,East of England,All Stages,All Routes,25,0.7,0.4,0.9
2020,0-49,All Persons,All IMD Quintiles,East of England,All Stages,All Routes,30,0.8,0.5,1.1
