diagnosisYear,ageBand,sex,dep,region,stage,route,count,rate,ciLb,ciUb
2022,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,Emergency,SUPPRESSED; n<10,0.3,0.3,0.3
2023,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,Emergency,SUPPRESSED; n<10,0.2,0.2,0.2
allyears,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,Emergency,20,0.2,0.1,0.3
2016,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,Non-emergency,90,3.0,3.0,3.0
2017,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,Non-emergency,110,3.7,3.7,3.7
2018,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,Non-emergency,80,2.7,2.7,2.7
2019,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,Non-emergency,#N/A,#N/A,#N/A,#N/A
2020,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,Non-emergency,#N/A,#N/A,#N/A,#N/A
2021,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,Non-emergency,#N/A,#N/A,#N/A,#N/A
2022,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,Non-emergency,80,2.7,2.7,2.7
2023,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,Non-emergency,60,2.1,2.1,2.1
allyears,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,Non-emergency,420,2.0,1.8,2.2
2016,0-49,All Persons,All IMD Quintiles,East Midlands,Early,All Routes,40,1.3,1.3,1.3
2017,0-49,All Persons,All IMD Quintiles,East Midlands,Early,All Routes,35,1.1,1.1,1.1
2018,0-49,All Persons,All IMD Quintiles,East Midlands,Early,All Routes,30,0.9,0.9,0.9
2019,0-49,All Persons,All IMD Quintiles,East Midlands,Early,All Routes,30,1.1,1.1,1.1
2020,0-49,All Persons,All IMD Quintiles,East Midlands,Early,All Routes,35,1.1,1.1,1.1
2021,0-49,All Persons,All IMD Quintiles,East Midlands,Early,All Routes,40,1.3,1.3,1.3
2022,0-49,All Persons,All IMD Quintiles,East Midlands,Early,All Routes,#N/A,#N/A,#N/A,#N/A
2023,0-49,All Persons,All IMD Quintiles,East Midlands,Early,All Routes,#N/A,#N/A,#N/A,#N/A
allyears,0-49,All Persons,All IMD Quintiles,East Midlands,Early,All Routes,210,1.0,0.8,1.1
2016,0-49,All Persons,All IMD Quintiles,East Midlands,Advanced,All Routes,50,1.7,1.7,1.7
2017,0-49,All Persons,All IMD Quintiles,East Midlands,Advanced,All Routes,80,2.7,2.7,2.7
2018,0-49,All Persons,All IMD Quintiles,East Midlands,Advanced,All Routes,50,1.7,1.7,1.7
2019,0-49,All Persons,All IMD Quintiles,East Midlands,Advanced,All Routes,40,1.3,1.3,1.3
2020,0-49,All Persons,All IMD Quintiles,East Midlands,Advanced,All Routes,35,1.1,1.1,1.1
2021,0-49,All Persons,All IMD Quintiles,East Midlands,Advanced,All Routes,45,1.5,1.5,1.5
2022,0-49,All Persons,All IMD Quintiles,East Midlands,Advanced,All Routes,#N/A,#N/A,#N/A,#N/A
2023,0-49,All Persons,All IMD Quintiles,East Midlands,Advanced,All Routes,#N/A,#N/A,#N/A,#N/A
allyears,0-49,All Persons,All IMD Quintiles,East Midlands,Advanced,All Routes,300,1.4,1.3,1.6
2016,0-49,All Persons,All IMD Quintiles,East of England,All Stages,All Routes,110,2.9,2.9,2.9
2017,0-49,All Persons,All IMD Quintiles,East of England,All Stages,All Routes,105,2.7,2.7,2.7
2018,0-49,All Persons,All IMD Quintiles,East of England,All Stages,All Routes,120,3.1,3.1,3.1
2019,0-49,All Persons,All IMD Quintiles,East of England,All Stages,All Routes,110,2.8,2.8,2.8
2020,0-49,All Persons,All IMD Quintiles,East of England,All Stages,All Routes,95,2.5,2.5,2.5
2021,0-49,All Persons,All IMD Quintiles,East of England,All Stages,All Routes,105,2.8,2.8,2.8
2022,0-49,All Persons,All IMD Quintiles,East of England,All Stages,All Routes,80,2.0,2.0,2.0
2023,0-49,All Persons,All IMD Quintiles,East of England,All Stages,All Routes,95,2.4,2.4,2.4
allyears,0-49,All Persons,All IMD Quintiles,East of England,All Stages,All Routes,820,3.0,2.8,3.3
2016,0-49,All Persons,All IMD Quintiles,East of England,All Stages,Emergency,SUPPRESSED; n<10,0.2,0.2,0.2
2017,0-49,All Persons,All IMD Quintiles,East of England,All Stages,Emergency,SUPPRESSED; n<10,0.2,0.2,0.2
2018,0-49,All Persons,All IMD Quintiles,East of England,All Stages,Emergency,10,0.3,0.3,0.3
2019,0-49,All Persons,All IMD Quintiles,East of England,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A
2020,0-49,All Persons,All IMD Quintiles,East of England,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A
2021,0-49,All Persons,All IMD Quintiles,East of England,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A
2022,0-49,All Persons,All IMD Quintiles,East of England,All Stages,Emergency,SUPPRESSED; n<10,0.2,0.2,0.2
2023,0-49,All Persons,All IMD Quintiles,East of England,All Stages,Emergency,SUPPRESSED; n<10,0.2,0.2,0.2
allyears,0-49,All Persons,All IMD Quintiles,East of England,All Stages,Emergency,10,0.2,0.1,0.2
2016,0-49,All Persons,All IMD Quintiles,East of England,All Stages,Non-emergency,100,2.6,2.6,2.6
2017,0-49,All Persons,All IMD Quintiles,East of England,All Stages,Non-emergency,95,2.5,2.5,2.5
2018,0-49,All Persons,All IMD Quintiles,East of England,All Stages,Non-emergency,105,2.7,2.7,2.7
2019,0-49,All Persons,All IMD Quintiles,East of England,All Stages,Non-emergency,#N/A,#N/A,#N/A,#N/A
2020,0-49,All Persons,All IMD Quintiles,East of England,All Stages,Non-emergency,#N/A,#N/A,#N/A,#N/A
2021,0-49,All Persons,All IMD Quintiles,East of England,All Stages,Non-emergency,#N/A,#N/A,#N/A,#N/A
2022,0-49,All Persons,All IMD Quintiles,East of England,All Stages,Non-emergency,70,1.8,1.8,1.8
2023,0-49,All Persons,All IMD Quintiles,East of England,All Stages,Non-emergency,85,2.2,2.2,2.2
allyears,0-49,All Persons,All IMD Quintiles,East of England,All Stages,Non-emergency,455,1.7,1.5,1.8
2016,0-49,All Persons,All IMD Quintiles,East of England,Early,All Routes,35,0.9,0.9,0.9
2017,0-49,All Persons,All IMD Quintiles,East of England,Early,All Routes,35,0.9,0.9,0.9
2018,0-49,All Persons,All IMD Quintiles,East of England,Early,All Routes,40,1.0,1.0,1.0
2019,0-49,All Persons,All IMD Quintiles,East of England,Early,All Routes,55,1.4,1.4,1.4
2020,0-49,All Persons,All IMD Quintiles,East of England,Early,All Routes,45,1.1,1.1,1.1
2021,0-49,All Persons,All IMD Quintiles,East of England,Early,All Routes,55,1.4,1.4,1.4
2022,0-49,All Persons,All IMD Quintiles,East of England,Early,All Routes,#N/A,#N/A,#N/A,#N/A
2023,0-49,All Persons,All IMD Quintiles,East of England,Early,All Routes,#N/A,#N/A,#N/A,#N/A
allyears,0-49,All Persons,All IMD Quintiles,East of England,Early,All Routes,265,1.0,0.8,1.1
2016,0-49,All Persons,All IMD Quintiles,East of England,Advanced,All Routes,70,1.8,1.8,1.8
2017,0-49,All Persons,All IMD Quintiles,East of England,Advanced,All Routes,60,1.5,1.5,1.5
2018,0-49,All Persons,All IMD Quintiles,East of England,Advanced,All Routes,65,1.7,1.7,1.7
2019,0-49,All Persons,All IMD Quintiles,East of England,Advanced,All Routes,35,0.9,0.9,0.9
2020,0-49,All Persons,All IMD Quintiles,East of England,Advanced,All Routes,40,1.1,1.1,1.1
2021,0-49,All Persons,All IMD Quintiles,East of England,Advanced,All Routes,40,1.0,1.0,1.0
2022,0-49,All Persons,All IMD Quintiles,East of England,Advanced,All Routes,#N/A,#N/A,#N/A,#N/A
2023,0-49,All Persons,All IMD Quintiles,East of England,Advanced,All Routes,#N/A,#N/A,#N/A,#N/A
allyears,0-49,All Persons,All IMD Quintiles,East of England,Advanced,All Routes,310,1.1,1.0,1.3
2016,0-49,All Persons,All IMD Quintiles,London,All Stages,All Routes,165,2.5,2.5,2.5
2017,0-49,All Persons,All IMD Quintiles,London,All Stages,All Routes,140,2.2,2.2,2.2
2018,0-49,All Persons,All IMD Quintiles,London,All Stages,All Routes,170,2.6,2.6,2.6
2019,0-49,All Persons,All IMD Quintiles,London,All Stages,All Routes,155,2.4,2.4,2.4
2020,0-49,All Persons,All IMD Quintiles,London,All Stages,All Routes,135,2.2,2.2,2.2
2021,0-49,All Persons,All IMD Quintiles,London,All Stages,All Routes,175,2.8,2.8,2.8
2022,0-49,All Persons,All IMD Quintiles,London,All Stages,All Routes,145,2.3,2.3,2.3
2023,0-49,All Persons,All IMD Quintiles,London,All Stages,All Routes,110,1.8,1.8,1.8
allyears,0-49,All Persons,All IMD Quintiles,London,All Stages,All Routes,1195,2.7,2.5,2.8
2016,0-49,All Persons,All IMD Quintiles,London,All Stages,Emergency,15,0.2,0.2,0.2
2017,0-49,All Persons,All IMD Quintiles,London,All Stages,Emergency,SUPPRESSED; n<10,0.1,0.1,0.1
2018,0-49,All Persons,All IMD Quintiles,London,All Stages,Emergency,15,0.2,0.2,0.2
2019,0-49,All Persons,All IMD Quintiles,London,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A
2020,0-49,All Persons,All IMD Quintiles,London,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A
2021,0-49,All Persons,All IMD Quintiles,London,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A
2022,0-49,All Persons,All IMD Quintiles,London,All Stages,Emergency,20,0.3,0.3,0.3
2023,0-49,All Persons,All IMD Quintiles,London,All Stages,Emergency,15,0.2,0.2,0.2
allyears,0-49,All Persons,All IMD Quintiles,London,All Stages,Emergency,65,0.2,0.1,0.2
2016,0-49,All Persons,All IMD Quintiles,London,All Stages,Non-emergency,140,2.2,2.2,2.2
2017,0-49,All Persons,All IMD Quintiles,London,All Stages,Non-emergency,125,2.0,2.0,2.0
2018,0-49,All Persons,All IMD Quintiles,London,All Stages,Non-emergency,140,2.2,2.2,2.2
2019,0-49,All Persons,All IMD Quintiles,London,All Stages,Non-emergency,#N/A,#N/A,#N/A,#N/A
2020,0-49,All Persons,All IMD Quintiles,London,All Stages,Non-emergency,#N/A,#N/A,#N/A,#N/A
2021,0-49,All Persons,All IMD Quintiles,London,All Stages,Non-emergency,#N/A,#N/A,#N/A,#N/A
2022,0-49,All Persons,All IMD Quintiles,London,All Stages,Non-emergency,120,1.9,1.9,1.9
2023,0-49,All Persons,All IMD Quintiles,London,All Stages,Non-emergency,95,1.5,1.5,1.5
allyears,0-49,All Persons,All IMD Quintiles,London,All Stages,Non-emergency,620,1.4,1.3,1.5
2016,0-49,All Persons,All IMD Quintiles,London,Early,All Routes,55,0.8,0.8,0.8
2017,0-49,All Persons,All IMD Quintiles,London,Early,All Routes,55,0.9,0.9,0.9
2018,0-49,All Persons,All IMD Quintiles,London,Early,All Routes,60,0.9,0.9,0.9
2019,0-49,All Persons,All IMD Quintiles,London,Early,All Routes,50,0.8,0.8,0.8
2020,0-49,All Persons,All IMD Quintiles,London,Early,All Routes,35,0.6,0.6,0.6
2021,0-49,All Persons,All IMD Quintiles,London,Early,All Routes,40,0.7,0.7,0.7
2022,0-49,All Persons,All IMD Quintiles,London,Early,All Routes,#N/A,#N/A,#N/A,#N/A
2023,0-49,All Persons,All IMD Quintiles,London,Early,All Routes,#N/A,#N/A,#N/A,#N/A
allyears,0-49,All Persons,All IMD Quintiles,London,Early,All Routes,295,0.7,0.6,0.7
2016,0-49,All Persons,All IMD Quintiles,London,Advanced,All Routes,85,1.4,1.4,1.4
2017,0-49,All Persons,All IMD Quintiles,London,Advanced,All Routes,70,1.1,1.1,1.1
2018,0-49,All Persons,All IMD Quintiles,London,Advanced,All Routes,90,1.4,1.4,1.4
2019,0-49,All Persons,All IMD Quintiles,London,Advanced,All Routes,45,0.7,0.7,0.7
2020,0-49,All Persons,All IMD Quintiles,London,Advanced,All Routes,45,0.7,0.7,0.7
2021,0-49,All Persons,All IMD Quintiles,London,Advanced,All Routes,60,1.0,1.0,1.0
2022,0-49,All Persons,All IMD Quintiles,London,Advanced,All Routes,#N/A,#N/A,#N/A,#N/A
2023,0-49,All Persons,All IMD Quintiles,London,Advanced,All Routes,#N/A,#N/A,#N/A,#N/A
allyears,0-49,All Persons,All IMD Quintiles,London,Advanced,All Routes,395,0.9,0.8,1.0
2016,0-49,All Persons,All IMD Quintiles,North East,All Stages,All Routes,75,4.6,4.6,4.6
2017,0-49,All Persons,All IMD Quintiles,North East,All Stages,All Routes,70,4.3,4.3,4.3
2018,0-49,All Persons,All IMD Quintiles,North East,All Stages,All Routes,65,4.0,4.0,4.0
2019,0-49,All Persons,All IMD Quintiles,North East,All Stages,All Routes,65,4.2,4.2,4.2
2020,0-49,All Persons,All IMD Quintiles,North East,All Stages,All Routes,50,3.1,3.1,3.1
2021,0-49,All Persons,All IMD Quintiles,North East,All Stages,All Routes,60,3.7,3.7,3.7
2022,0-49,All Persons,All IMD Quintiles,North East,All Stages,All Routes,50,3.2,3.2,3.2
2023,0-49,All Persons,All IMD Quintiles,North East,All Stages,All Routes,55,3.4,3.4,3.4
allyears,0-49,All Persons,All IMD Quintiles,North East,All Stages,All Routes,490,4.4,4.0,4.8
2016,0-49,All Persons,All IMD Quintiles,North East,All Stages,Emergency,SUPPRESSED; n<10,0.3,0.3,0.3
2017,0-49,All Persons,All IMD Quintiles,North East,All Stages,Emergency,SUPPRESSED; n<10,0.5,0.5,0.5
2018,0-49,All Persons,All IMD Quintiles,North East,All Stages,Emergency,SUPPRESSED; n<10,0.4,0.4,0.4
2019,0-49,All Persons,All IMD Quintiles,North East,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A
2020,0-49,All Persons,All IMD Quintiles,North East,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A
2021,0-49,All Persons,All IMD Quintiles,North East,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A
2022,0-49,All Persons,All IMD Quintiles,North East,All Stages,Emergency,SUPPRESSED; n<10,0.4,0.4,0.4
2023,0-49,All Persons,All IMD Quintiles,North East,All Stages,Emergency,SUPPRESSED; n<10,0.4,0.4,0.4
allyears,0-49,All Persons,All IMD Quintiles,North East,All Stages,Emergency,0,0.3,0.2,0.4
2016,0-49,All Persons,All IMD Quintiles,North East,All Stages,Non-emergency,70,4.3,4.3,4.3
2017,0-49,All Persons,All IMD Quintiles,North East,All Stages,Non-emergency,55,3.6,3.6,3.6
2018,0-49,All Persons,All IMD Quintiles,North East,All Stages,Non-emergency,55,3.5,3.5,3.5
2019,0-49,All Persons,All IMD Quintiles,North East,All Stages,Non-emergency,#N/A,#N/A,#N/A,#N/A
2020,0-49,All Persons,All IMD Quintiles,North East,All Stages,Non-emergency,#N/A,#N/A,#N/A,#N/A
2021,0-49,All Persons,All IMD Quintiles,North East,All Stages,Non-emergency,#N/A,#N/A,#N/A,#N/A
2022,0-49,All Persons,All IMD Quintiles,North East,All Stages,Non-emergency,45,2.9,2.9,2.9
2023,0-49,All Persons,All IMD Quintiles,North East,All Stages,Non-emergency,50,3.0,3.0,3.0
allyears,0-49,All Persons,All IMD Quintiles,North East,All Stages,Non-emergency,275,2.5,2.2,2.8
2016,0-49,All Persons,All IMD Quintiles,North East,Early,All Routes,25,1.5,1.5,1.5
2017,0-49,All Persons,All IMD Quintiles,North East,Early,All Routes,25,1.5,1.5,1.5
2018,0-49,All Persons,All IMD Quintiles,North East,Early,All Routes,20,1.1,1.1,1.1
2019,0-49,All Persons,All IMD Quintiles,North East,Early,All Routes,30,2.0,2.0,2.0
2020,0-49,All Persons,All IMD Quintiles,North East,Early,All Routes,30,2.0,2.0,2.0
2021,0-49,All Persons,All IMD Quintiles,North East,Early,All Routes,30,1.8,1.8,1.8
2022,0-49,All Persons,All IMD Quintiles,North East,Early,All Routes,#N/A,#N/A,#N/A,#N/A
2023,0-49,All Persons,All IMD Quintiles,North East,Early,All Routes,#N/A,#N/A,#N/A,#N/A
allyears,0-49,All Persons,All IMD Quintiles,North East,Early,All Routes,160,1.4,1.2,1.6
2016,0-49,All Persons,All IMD Quintiles,North East,Advanced,All Routes,50,3.1,3.1,3.1
2017,0-49,All Persons,All IMD Quintiles,North East,Advanced,All Routes,40,2.6,2.6,2.6
2018,0-49,All Persons,All IMD Quintiles,North East,Advanced,All Routes,40,2.6,2.6,2.6
2019,0-49,All Persons,All IMD Quintiles,North East,Advanced,All Routes,25,1.6,1.6,1.6
2020,0-49,All Persons,All IMD Quintiles,North East,Advanced,All Routes,15,1.1,1.1,1.1
2021,0-49,All Persons,All IMD Quintiles,North East,Advanced,All Routes,25,1.5,1.5,1.5
2022,0-49,All Persons,All IMD Quintiles,North East,Advanced,All Routes,#N/A,#N/A,#N/A,#N/A
2023,0-49,All Persons,All IMD Quintiles,North East,Advanced,All Routes,#N/A,#N/A,#N/A,#N/A
allyears,0-49,All Persons,All IMD Quintiles,North East,Advanced,All Routes,195,1.8,1.5,2.0
2016,0-49,All Persons,All IMD Quintiles,North West,All Stages,All Routes,155,3.4,3.4,3.4
2017,0-49,All Persons,All IMD Quintiles,North West,All Stages,All Routes,170,3.8,3.8,3.8
2018,0-49,All Persons,All IMD Quintiles,North West,All Stages,All Routes,185,4.1,4.1,4.1
2019,0-49,All Persons,All IMD Quintiles,North West,All Stages,All Routes,135,2.9,2.9,2.9
2020,0-49,All Persons,All IMD Quintiles,North West,All Stages,All Routes,135,3.0,3.0,3.0
2021,0-49,All Persons,All IMD Quintiles,North West,All Stages,All Routes,135,3.0,3.0,3.0
2022,0-49,All Persons,All IMD Quintiles,North West,All Stages,All Routes,130,2.8,2.8,2.8
2023,0-49,All Persons,All IMD Quintiles,North West,All Stages,All Routes,125,2.7,2.7,2.7
allyears,0-49,All Persons,All IMD Quintiles,North West,All Stages,All Routes,1170,3.7,3.5,3.9
2016,0-49,All Persons,All IMD Quintiles,North West,All Stages,Emergency,10,0.3,0.3,0.3
2017,0-49,All Persons,All IMD Quintiles,North West,All Stages,Emergency,10,0.2,0.2,0.2
2018,0-49,All Persons,All IMD Quintiles,North West,All Stages,Emergency,15,0.3,0.3,0.3
2019,0-49,All Persons,All IMD Quintiles,North West,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A
2020,0-49,All Persons,All IMD Quintiles,North West,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A
2021,0-49,All Persons,All IMD Quintiles,North West,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A
2022,0-49,All Persons,All IMD Quintiles,North West,All Stages,Emergency,10,0.2,0.2,0.2
2023,0-49,All Persons,All IMD Quintiles,North West,All Stages,Emergency,15,0.3,0.3,0.3
allyears,0-49,All Persons,All IMD Quintiles,North West,All Stages,Emergency,60,0.2,0.1,0.2
2016,0-49,All Persons,All IMD Quintiles,North West,All Stages,Non-emergency,140,3.1,3.1,3.1
2017,0-49,All Persons,All IMD Quintiles,North West,All Stages,Non-emergency,155,3.4,3.4,3.4
2018,0-49,All Persons,All IMD Quintiles,North West,All Stages,Non-emergency,165,3.7,3.7,3.7
2019,0-49,All Persons,All IMD Quintiles,North West,All Stages,Non-emergency,#N/A,#N/A,#N/A,#N/A
2020,0-49,All Persons,All IMD Quintiles,North West,All Stages,Non-emergency,#N/A,#N/A,#N/A,#N/A
2021,0-49,All Persons,All IMD Quintiles,North West,All Stages,Non-emergency,#N/A,#N/A,#N/A,#N/A
2022,0-49,All Persons,All IMD Quintiles,North West,All Stages,Non-emergency,115,2.5,2.5,2.5
2023,0-49,All Persons,All IMD Quintiles,North West,All Stages,Non-emergency,110,2.4,2.4,2.4
allyears,0-49,All Persons,All IMD Quintiles,North West,All Stages,Non-emergency,685,2.2,2.0,2.3
2016,0-49,All Persons,All IMD Quintiles,North West,Early,All Routes,40,0.9,0.9,0.9
2017,0-49,All Persons,All IMD Quintiles,North West,Early,All Routes,55,1.3,1.3,1.3
2018,0-49,All Persons,All IMD Quintiles,North West,Early,All Routes,60,1.3,1.3,1.3
2019,0-49,All Persons,All IMD Quintiles,North West,Early,All Routes,70,1.5,1.5,1.5
2020,0-49,All Persons,All IMD Quintiles,North West,Early,All Routes,55,1.3,1.3,1.3
2021,0-49,All Persons,All IMD Quintiles,North West,Early,All Routes,50,1.1,1.1,1.1
2022,0-49,All Persons,All IMD Quintiles,North West,Early,All Routes,#N/A,#N/A,#N/A,#N/A
2023,0-49,All Persons,All IMD Quintiles,North West,Early,All Routes,#N/A,#N/A,#N/A,#N/A
allyears,0-49,All Persons,All IMD Quintiles,North West,Early,All Routes,330,1.0,0.9,1.2
2016,0-49,All Persons,All IMD Quintiles,North West,Advanced,All Routes,105,2.3,2.3,2.3
2017,0-49,All Persons,All IMD Quintiles,North West,Advanced,All Routes,95,2.1,2.1,2.1
2018,0-49,All Persons,All IMD Quintiles,North West,Advanced,All Routes,110,2.4,2.4,2.4
2019,0-49,All Persons,All IMD Quintiles,North West,Advanced,All Routes,50,1.1,1.1,1.1
2020,0-49,All Persons,All IMD Quintiles,North West,Advanced,All Routes,70,1.5,1.5,1.5
2021,0-49,All Persons,All IMD Quintiles,North West,Advanced,All Routes,75,1.6,1.6,1.6
2022,0-49,All Persons,All IMD Quintiles,North West,Advanced,All Routes,#N/A,#N/A,#N/A,#N/A
