diagnosisYear,ageBand,sex,dep,region,stage,route,count,rate,ciLb,ciUb
2016,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,1110,3.1,3.1,3.2
2017,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,1105,3.1,3.1,3.2
2018,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,1110,3.1,3.1,3.2
2019,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,1060,3.0,3.0,3.1
2020,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,950,2.7,2.7,2.7
2021,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,1045,3.0,2.9,3.0
2022,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,910,2.6,2.5,2.6
2023,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,870,2.5,2.4,2.5
allyears,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,8160,3.3,3.2,3.4
2016,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Emergency,90,0.3,0.3,0.3
2017,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Emergency,70,0.2,0.2,0.2
2018,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Emergency,85,0.2,0.2,0.2
2019,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A
2020,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A
2021,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A
2022,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Emergency,85,0.2,0.2,0.2
2023,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Emergency,85,0.2,0.2,0.2
allyears,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Emergency,415,0.2,0.2,0.2
2016,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Non-emergency,985,2.8,2.8,2.8
2017,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Non-emergency,1000,2.8,2.8,2.8
2018,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Non-emergency,965,2.7,2.7,2.7
2019,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Non-emergency,#N/A,#N/A,#N/A,#N/A
2020,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Non-emergency,#N/A,#N/A,#N/A,#N/A
2021,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Non-emergency,#N/A,#N/A,#N/A,#N/A
2022,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Non-emergency,805,2.3,2.3,2.3
2023,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Non-emergency,765,2.2,2.2,2.2
allyears,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,Non-emergency,4520,1.8,1.8,1.9
2016,0-49,All Persons,All IMD Quintiles,All Regions,Early,All Routes,360,1.0,0.9,1.1
2017,0-49,All Persons,All IMD Quintiles,All Regions,Early,All Routes,360,1.0,0.9,1.1
2018,0-49,All Persons,All IMD Quintiles,All Regions,Early,All Routes,350,1.0,0.9,1.1
2019,0-49,All Persons,All IMD Quintiles,All Regions,Early,All Routes,455,1.3,1.2,1.4
2020,0-49,All Persons,All IMD Quintiles,All Regions,Early,All Routes,410,1.2,1.1,1.3
2021,0-49,All Persons,All IMD Quintiles,All Regions,Early,All Routes,455,1.3,1.2,1.4
2022,0-49,All Persons,All IMD Quintiles,All Regions,Early,All Routes,#N/A,#N/A,#N/A,#N/A
2023,0-49,All Persons,All IMD Quintiles,All Regions,Early,All Routes,#N/A,#N/A,#N/A,#N/A
allyears,0-49,All Persons,All IMD Quintiles,All Regions,Early,All Routes,2390,1.0,0.9,1.0
2016,0-49,All Persons,All IMD Quintiles,All Regions,Advanced,All Routes,635,1.8,1.7,1.9
2017,0-49,All Persons,All IMD Quintiles,All Regions,Advanced,All Routes,630,1.8,1.6,1.9
2018,0-49,All Persons,All IMD Quintiles,All Regions,Advanced,All Routes,625,1.8,1.6,1.9
2019,0-49,All Persons,All IMD Quintiles,All Regions,Advanced,All Routes,365,1.0,0.9,1.1
2020,0-49,All Persons,All IMD Quintiles,All Regions,Advanced,All Routes,390,1.1,1.0,1.2
2021,0-49,All Persons,All IMD Quintiles,All Regions,Advanced,All Routes,425,1.2,1.1,1.3
2022,0-49,All Persons,All IMD Quintiles,All Regions,Advanced,All Routes,#N/A,#N/A,#N/A,#N/A
2023,0-49,All Persons,All IMD Quintiles,All Regions,Advanced,All Routes,#N/A,#N/A,#N/A,#N/A
allyears,0-49,All Persons,All IMD Quintiles,All Regions,Advanced,All Routes,3070,1.2,1.2,1.3
2016,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,All Routes,105,3.6,3.6,3.6
2017,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,All Routes,125,4.2,4.2,4.2
2018,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,All Routes,90,3.0,3.0,3.0
2019,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,All Routes,110,3.8,3.8,3.8
2020,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,All Routes,90,3.1,3.1,3.1
2021,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,All Routes,95,3.2,3.2,3.2
2022,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,All Routes,85,2.9,2.9,2.9
2023,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,All Routes,65,2.3,2.3,2.3
allyears,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,All Routes,765,3.7,3.5,4.0
2016,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,Emergency,10,0.3,0.3,0.3
2017,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,Emergency,10,0.4,0.4,0.4
2018,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,Emergency,SUPPRESSED; n<10,0.2,0.2,0.2
2019,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A
2020,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A
2021,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A
