diagnosisYear,ageBand,sex,dep,region,stage,route,rate,ciLb,ciUb
2016,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,3.15,3.1,3.19
2017,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,3.14,3.1,3.19
2018,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,3.15,3.1,3.19
2019,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,3.01,2.96,3.05
2020,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,2.7,2.65,2.74
2021,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,2.97,2.93,3.02
2022,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,2.57,2.53,2.61
2023,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,2.45,2.41,2.49
allyears,0-49,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,3.31,3.24,3.38
2016,50-54,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,26.13,25.9,26.35
2017,50-54,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,26.04,25.82,26.27
2018,50-54,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,26.4,26.17,26.63
2019,50-54,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,26.23,26,26.46
2020,50-54,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,25.68,25.46,25.9
2021,50-54,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,27.16,26.93,27.39
2022,50-54,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,22.52,22.31,22.73
2023,50-54,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,22.44,22.23,22.65
allyears,50-54,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,28.9,28.26,29.54
2016,55-59,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,39.44,39.15,39.72
2017,55-59,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,36.06,35.79,36.33
2018,55-59,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,37.34,37.07,37.62
2019,55-59,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,36.87,36.6,37.14
2020,55-59,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,37.55,37.28,37.82
2021,55-59,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,39.51,39.23,39.79
2022,55-59,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,34.58,34.32,34.84
2023,55-59,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,33.34,33.09,33.6
allyears,55-59,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,42.29,41.5,43.08
2016,60-64,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,46.67,46.35,47
2017,60-64,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,46.66,46.34,46.98
2018,60-64,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,46.94,46.62,47.26
2019,60-64,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,45.54,45.22,45.85
2020,60-64,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,44.42,44.12,44.73
2021,60-64,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,49.75,49.43,50.07
2022,60-64,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,40.97,40.68,41.26
2023,60-64,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,42.43,42.13,42.72
allyears,60-64,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,52.37,51.43,53.32
2016,65-69,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,50.82,50.49,51.16
2017,65-69,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,52.04,51.69,52.38
2018,65-69,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,50.21,49.88,50.55
2019,65-69,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,57.26,56.9,57.63
2020,65-69,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,51.04,50.7,51.38
2021,65-69,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,58.94,58.58,59.31
2022,65-69,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,47.75,47.42,48.08
2023,65-69,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,48.23,47.9,48.56
allyears,65-69,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,59.54,58.47,60.6
2016,70-74,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,52.95,52.59,53.32
2017,70-74,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,47.78,47.45,48.11
2018,70-74,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,48.88,48.54,49.21
2019,70-74,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,51.61,51.27,51.95
2020,70-74,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,50.28,49.95,50.62
2021,70-74,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,61.7,61.32,62.08
2022,70-74,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,49.53,49.19,49.88
2023,70-74,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,48.51,48.17,48.85
allyears,70-74,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,58.48,57.39,59.56
2016,75-79,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,50.22,49.84,50.6
2017,75-79,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,44.15,43.8,44.5
2018,75-79,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,45.98,45.63,46.33
2019,75-79,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,49.75,49.38,50.11
2020,75-79,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,44.8,44.46,45.14
2021,75-79,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,55.46,55.09,55.83
2022,75-79,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,44.24,43.91,44.57
2023,75-79,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,45.01,44.68,45.34
allyears,75-79,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,55.33,54.13,56.53
2016,80-84,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,46.83,46.43,47.22
2017,80-84,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,43.02,42.66,43.39
2018,80-84,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,41.03,40.67,41.39
2019,80-84,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,47.31,46.93,47.69
2020,80-84,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,39.83,39.48,40.19
2021,80-84,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,52.06,51.66,52.47
2022,80-84,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,46.14,45.76,46.52
2023,80-84,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,45.88,45.51,46.26
allyears,80-84,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,52,50.62,53.38
2016,85-89,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,47.37,46.92,47.81
2017,85-89,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,36.77,36.39,37.15
2018,85-89,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,43.51,43.09,43.92
2019,85-89,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,41.66,41.26,42.06
2020,85-89,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,38.1,37.71,38.48
2021,85-89,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,44.48,44.06,44.89
2022,85-89,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,37.89,37.52,38.27
2023,85-89,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,41.01,40.62,41.41
allyears,85-89,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,47.47,45.83,49.11
2016,90+,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,42.02,41.54,42.5
2017,90+,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,38.76,38.3,39.22
2018,90+,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,43.06,42.58,43.55
2019,90+,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,46.2,45.71,46.7
2020,90+,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,38.77,38.31,39.22
2021,90+,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,45.57,45.07,46.07
2022,90+,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,39.42,38.96,39.88
2023,90+,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,40.59,40.12,41.05
allyears,90+,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,47.84,45.56,50.12
2016,all ages,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,18.87,18.49,19.24
2017,all ages,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,17.92,17.56,18.27
2018,all ages,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,18.17,17.81,18.52
2019,all ages,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,18.79,18.43,19.15
2020,all ages,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,17.62,17.27,17.96
2021,all ages,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,20.24,19.87,20.61
2022,all ages,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,16.84,16.5,17.17
2023,all ages,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,16.83,16.49,17.16
allyears,all ages,All Persons,All IMD Quintiles,All Regions,All Stages,All Routes,20.83,20.69,20.98
2016,0-49,Male,All IMD Quintiles,All Regions,All Stages,All Routes,3.95,3.95,3.95
2017,0-49,Male,All IMD Quintiles,All Regions,All Stages,All Routes,4.02,4.02,4.02
2018,0-49,Male,All IMD Quintiles,All Regions,All Stages,All Routes,3.96,3.96,3.96
2019,0-49,Male,All IMD Quintiles,All Regions,All Stages,All Routes,3.79,3.79,3.79
2020,0-49,Male,All IMD Quintiles,All Regions,All Stages,All Routes,3.6,3.6,3.6
2021,0-49,Male,All IMD Quintiles,All Regions,All Stages,All Routes,3.75,3.75,3.75
2022,0-49,Male,All IMD Quintiles,All Regions,All Stages,All Routes,3.12,3.12,3.12
2023,0-49,Male,All IMD Quintiles,All Regions,All Stages,All Routes,3.21,3.21,3.21
allyears,0-49,Male,All IMD Quintiles,All Regions,All Stages,All Routes,4.2,4.08,4.31
2016,50-54,Male,All IMD Quintiles,All Regions,All Stages,All Routes,39.5,39.5,39.5
2017,50-54,Male,All IMD Quintiles,All Regions,All Stages,All Routes,39.13,39.13,39.13
2018,50-54,Male,All IMD Quintiles,All Regions,All Stages,All Routes,39.01,39.01,39.01
2019,50-54,Male,All IMD Quintiles,All Regions,All Stages,All Routes,38.44,38.44,38.44
2020,50-54,Male,All IMD Quintiles,All Regions,All Stages,All Routes,37.39,37.39,37.39
2021,50-54,Male,All IMD Quintiles,All Regions,All Stages,All Routes,39.15,39.15,39.15
2022,50-54,Male,All IMD Quintiles,All Regions,All Stages,All Routes,31.45,31.45,31.45
2023,50-54,Male,All IMD Quintiles,All Regions,All Stages,All Routes,31.72,31.72,31.72
allyears,50-54,Male,All IMD Quintiles,All Regions,All Stages,All Routes,42.2,41.1,43.3
2016,55-59,Male,All IMD Quintiles,All Regions,All Stages,All Routes,58.67,58.67,58.67
2017,55-59,Male,All IMD Quintiles,All Regions,All Stages,All Routes,53.55,53.55,53.55
2018,55-59,Male,All IMD Quintiles,All Regions,All Stages,All Routes,54.55,54.55,54.55
2019,55-59,Male,All IMD Quintiles,All Regions,All Stages,All Routes,54.75,54.75,54.75
2020,55-59,Male,All IMD Quintiles,All Regions,All Stages,All Routes,56.45,56.45,56.45
2021,55-59,Male,All IMD Quintiles,All Regions,All Stages,All Routes,56.8,56.8,56.8
2022,55-59,Male,All IMD Quintiles,All Regions,All Stages,All Routes,50.99,50.99,50.99
2023,55-59,Male,All IMD Quintiles,All Regions,All Stages,All Routes,47.9,47.9,47.9
allyears,55-59,Male,All IMD Quintiles,All Regions,All Stages,All Routes,62.19,60.82,63.55
2016,60-64,Male,All IMD Quintiles,All Regions,All Stages,All Routes,67.8,67.8,67.8
2017,60-64,Male,All IMD Quintiles,All Regions,All Stages,All Routes,68.18,68.18,68.18
2018,60-64,Male,All IMD Quintiles,All Regions,All Stages,All Routes,69.69,69.69,69.69
2019,60-64,Male,All IMD Quintiles,All Regions,All Stages,All Routes,66.84,66.84,66.84
2020,60-64,Male,All IMD Quintiles,All Regions,All Stages,All Routes,64.07,64.07,64.07
2021,60-64,Male,All IMD Quintiles,All Regions,All Stages,All Routes,74.05,74.05,74.05
2022,60-64,Male,All IMD Quintiles,All Regions,All Stages,All Routes,61.96,61.96,61.96
2023,60-64,Male,All IMD Quintiles,All Regions,All Stages,All Routes,62.48,62.48,62.48
allyears,60-64,Male,All IMD Quintiles,All Regions,All Stages,All Routes,77.16,75.52,78.79
2016,65-69,Male,All IMD Quintiles,All Regions,All Stages,All Routes,74.87,74.87,74.87
2017,65-69,Male,All IMD Quintiles,All Regions,All Stages,All Routes,76.02,76.02,76.02
2018,65-69,Male,All IMD Quintiles,All Regions,All Stages,All Routes,74.95,74.95,74.95
2019,65-69,Male,All IMD Quintiles,All Regions,All Stages,All Routes,84.45,84.45,84.45
2020,65-69,Male,All IMD Quintiles,All Regions,All Stages,All Routes,75.1,75.1,75.1
2021,65-69,Male,All IMD Quintiles,All Regions,All Stages,All Routes,88.87,88.87,88.87
2022,65-69,Male,All IMD Quintiles,All Regions,All Stages,All Routes,69.99,69.99,69.99
2023,65-69,Male,All IMD Quintiles,All Regions,All Stages,All Routes,72.24,72.24,72.24
allyears,65-69,Male,All IMD Quintiles,All Regions,All Stages,All Routes,88.19,86.33,90.06
2016,70-74,Male,All IMD Quintiles,All Regions,All Stages,All Routes,78.69,78.69,78.69
2017,70-74,Male,All IMD Quintiles,All Regions,All Stages,All Routes,69.3,69.3,69.3
2018,70-74,Male,All IMD Quintiles,All Regions,All Stages,All Routes,69.94,69.94,69.94
2019,70-74,Male,All IMD Quintiles,All Regions,All Stages,All Routes,75.43,75.43,75.43
2020,70-74,Male,All IMD Quintiles,All Regions,All Stages,All Routes,74.13,74.13,74.13
2021,70-74,Male,All IMD Quintiles,All Regions,All Stages,All Routes,90.97,90.97,90.97
2022,70-74,Male,All IMD Quintiles,All Regions,All Stages,All Routes,73.75,73.75,73.75
2023,70-74,Male,All IMD Quintiles,All Regions,All Stages,All Routes,71.45,71.45,71.45
allyears,70-74,Male,All IMD Quintiles,All Regions,All Stages,All Routes,85.77,83.87,87.67
2016,75-79,Male,All IMD Quintiles,All Regions,All Stages,All Routes,71.27,71.27,71.27
2017,75-79,Male,All IMD Quintiles,All Regions,All Stages,All Routes,63.68,63.68,63.68
2018,75-79,Male,All IMD Quintiles,All Regions,All Stages,All Routes,62.99,62.99,62.99
2019,75-79,Male,All IMD Quintiles,All Regions,All Stages,All Routes,72.63,72.63,72.63
2020,75-79,Male,All IMD Quintiles,All Regions,All Stages,All Routes,62.16,62.16,62.16
2021,75-79,Male,All IMD Quintiles,All Regions,All Stages,All Routes,80.59,80.59,80.59
2022,75-79,Male,All IMD Quintiles,All Regions,All Stages,All Routes,64.05,64.05,64.05
2023,75-79,Male,All IMD Quintiles,All Regions,All Stages,All Routes,65.01,65.01,65.01
allyears,75-79,Male,All IMD Quintiles,All Regions,All Stages,All Routes,79.17,77.07,81.27
2016,80-84,Male,All IMD Quintiles,All Regions,All Stages,All Routes,71.55,71.55,71.55
2017,80-84,Male,All IMD Quintiles,All Regions,All Stages,All Routes,61.68,61.68,61.68
2018,80-84,Male,All IMD Quintiles,All Regions,All Stages,All Routes,55.98,55.98,55.98
2019,80-84,Male,All IMD Quintiles,All Regions,All Stages,All Routes,69.5,69.5,69.5
2020,80-84,Male,All IMD Quintiles,All Regions,All Stages,All Routes,54.47,54.47,54.47
2021,80-84,Male,All IMD Quintiles,All Regions,All Stages,All Routes,70.46,70.46,70.46
2022,80-84,Male,All IMD Quintiles,All Regions,All Stages,All Routes,64.7,64.7,64.7
2023,80-84,Male,All IMD Quintiles,All Regions,All Stages,All Routes,66.85,66.85,66.85
allyears,80-84,Male,All IMD Quintiles,All Regions,All Stages,All Routes,73.95,71.48,76.42
2016,85-89,Male,All IMD Quintiles,All Regions,All Stages,All Routes,67.59,67.59,67.59
2017,85-89,Male,All IMD Quintiles,All Regions,All Stages,All Routes,47.83,47.83,47.83
2018,85-89,Male,All IMD Quintiles,All Regions,All Stages,All Routes,58.43,58.43,58.43
2019,85-89,Male,All IMD Quintiles,All Regions,All Stages,All Routes,52.94,52.94,52.94
2020,85-89,Male,All IMD Quintiles,All Regions,All Stages,All Routes,49.75,49.75,49.75
2021,85-89,Male,All IMD Quintiles,All Regions,All Stages,All Routes,62.99,62.99,62.99
2022,85-89,Male,All IMD Quintiles,All Regions,All Stages,All Routes,55.36,55.36,55.36
2023,85-89,Male,All IMD Quintiles,All Regions,All Stages,All Routes,59.34,59.34,59.34
allyears,85-89,Male,All IMD Quintiles,All Regions,All Stages,All Routes,65.32,62.3,68.34
2016,90+,Male,All IMD Quintiles,All Regions,All Stages,All Routes,66.49,66.49,66.49
2017,90+,Male,All IMD Quintiles,All Regions,All Stages,All Routes,61.95,61.95,61.95
2018,90+,Male,All IMD Quintiles,All Regions,All Stages,All Routes,60.84,60.84,60.84
2019,90+,Male,All IMD Quintiles,All Regions,All Stages,All Routes,65.57,65.57,65.57
2020,90+,Male,All IMD Quintiles,All Regions,All Stages,All Routes,50.72,50.72,50.72
2021,90+,Male,All IMD Quintiles,All Regions,All Stages,All Routes,74.52,74.52,74.52
2022,90+,Male,All IMD Quintiles,All Regions,All Stages,All Routes,62.65,62.65,62.65
2023,90+,Male,All IMD Quintiles,All Regions,All Stages,All Routes,60.29,60.29,60.29
allyears,90+,Male,All IMD Quintiles,All Regions,All Stages,All Routes,72.21,67.25,77.17
2016,all ages,Male,All IMD Quintiles,All Regions,All Stages,All Routes,27.43,26.77,28.09
2017,all ages,Male,All IMD Quintiles,All Regions,All Stages,All Routes,25.83,25.21,26.46
2018,all ages,Male,All IMD Quintiles,All Regions,All Stages,All Routes,25.9,25.28,26.52
2019,all ages,Male,All IMD Quintiles,All Regions,All Stages,All Routes,27.08,26.45,27.71
2020,all ages,Male,All IMD Quintiles,All Regions,All Stages,All Routes,25.26,24.66,25.86
2021,all ages,Male,All IMD Quintiles,All Regions,All Stages,All Routes,29.27,28.62,29.92
2022,all ages,Male,All IMD Quintiles,All Regions,All Stages,All Routes,24.31,23.72,24.9
2023,all ages,Male,All IMD Quintiles,All Regions,All Stages,All Routes,24.35,23.76,24.94
allyears,all ages,Male,All IMD Quintiles,All Regions,All Stages,All Routes,30.04,29.79,30.29
2016,0-49,Female,All IMD Quintiles,All Regions,All Stages,All Routes,2.33,2.33,2.33
2017,0-49,Female,All IMD Quintiles,All Regions,All Stages,All Routes,2.25,2.25,2.25
2018,0-49,Female,All IMD Quintiles,All Regions,All Stages,All Routes,2.31,2.31,2.31
2019,0-49,Female,All IMD Quintiles,All Regions,All Stages,All Routes,2.21,2.21,2.21
2020,0-49,Female,All IMD Quintiles,All Regions,All Stages,All Routes,1.77,1.77,1.77
2021,0-49,Female,All IMD Quintiles,All Regions,All Stages,All Routes,2.2,2.2,2.2
2022,0-49,Female,All IMD Quintiles,All Regions,All Stages,All Routes,2.02,2.02,2.02
2023,0-49,Female,All IMD Quintiles,All Regions,All Stages,All Routes,1.7,1.7,1.7
allyears,0-49,Female,All IMD Quintiles,All Regions,All Stages,All Routes,2.4,2.32,2.49
2016,50-54,Female,All IMD Quintiles,All Regions,All Stages,All Routes,13.1,13.1,13.1
2017,50-54,Female,All IMD Quintiles,All Regions,All Stages,All Routes,13.29,13.29,13.29
2018,50-54,Female,All IMD Quintiles,All Regions,All Stages,All Routes,14.12,14.12,14.12
2019,50-54,Female,All IMD Quintiles,All Regions,All Stages,All Routes,14.34,14.34,14.34
2020,50-54,Female,All IMD Quintiles,All Regions,All Stages,All Routes,14.28,14.28,14.28
2021,50-54,Female,All IMD Quintiles,All Regions,All Stages,All Routes,15.54,15.54,15.54
2022,50-54,Female,All IMD Quintiles,All Regions,All Stages,All Routes,13.86,13.86,13.86
2023,50-54,Female,All IMD Quintiles,All Regions,All Stages,All Routes,13.45,13.45,13.45
allyears,50-54,Female,All IMD Quintiles,All Regions,All Stages,All Routes,15.97,15.3,16.64
2016,55-59,Female,All IMD Quintiles,All Regions,All Stages,All Routes,20.62,20.62,20.62
2017,55-59,Female,All IMD Quintiles,All Regions,All Stages,All Routes,18.97,18.97,18.97
2018,55-59,Female,All IMD Quintiles,All Regions,All Stages,All Routes,20.58,20.58,20.58
2019,55-59,Female,All IMD Quintiles,All Regions,All Stages,All Routes,19.49,19.49,19.49
2020,55-59,Female,All IMD Quintiles,All Regions,All Stages,All Routes,19.21,19.21,19.21
2021,55-59,Female,All IMD Quintiles,All Regions,All Stages,All Routes,22.8,22.8,22.8
2022,55-59,Female,All IMD Quintiles,All Regions,All Stages,All Routes,18.72,18.72,18.72
2023,55-59,Female,All IMD Quintiles,All Regions,All Stages,All Routes,19.28,19.28,19.28
allyears,55-59,Female,All IMD Quintiles,All Regions,All Stages,All Routes,22.94,22.13,23.76
2016,60-64,Female,All IMD Quintiles,All Regions,All Stages,All Routes,26.37,26.37,26.37
2017,60-64,Female,All IMD Quintiles,All Regions,All Stages,All Routes,25.87,25.87,25.87
2018,60-64,Female,All IMD Quintiles,All Regions,All Stages,All Routes,24.93,24.93,24.93
2019,60-64,Female,All IMD Quintiles,All Regions,All Stages,All Routes,24.94,24.94,24.94
2020,60-64,Female,All IMD Quintiles,All Regions,All Stages,All Routes,25.46,25.46,25.46
2021,60-64,Female,All IMD Quintiles,All Regions,All Stages,All Routes,26.19,26.19,26.19
2022,60-64,Female,All IMD Quintiles,All Regions,All Stages,All Routes,20.69,20.69,20.69
2023,60-64,Female,All IMD Quintiles,All Regions,All Stages,All Routes,23.05,23.05,23.05
allyears,60-64,Female,All IMD Quintiles,All Regions,All Stages,All Routes,28.43,27.45,29.41
2016,65-69,Female,All IMD Quintiles,All Regions,All Stages,All Routes,28.18,28.18,28.18
2017,65-69,Female,All IMD Quintiles,All Regions,All Stages,All Routes,29.43,29.43,29.43
2018,65-69,Female,All IMD Quintiles,All Regions,All Stages,All Routes,26.93,26.93,26.93
2019,65-69,Female,All IMD Quintiles,All Regions,All Stages,All Routes,31.62,31.62,31.62
2020,65-69,Female,All IMD Quintiles,All Regions,All Stages,All Routes,28.31,28.31,28.31
2021,65-69,Female,All IMD Quintiles,All Regions,All Stages,All Routes,30.56,30.56,30.56
2022,65-69,Female,All IMD Quintiles,All Regions,All Stages,All Routes,26.61,26.61,26.61
2023,65-69,Female,All IMD Quintiles,All Regions,All Stages,All Routes,25.4,25.4,25.4
allyears,65-69,Female,All IMD Quintiles,All Regions,All Stages,All Routes,32.46,31.36,33.56
2016,70-74,Female,All IMD Quintiles,All Regions,All Stages,All Routes,29.42,29.42,29.42
2017,70-74,Female,All IMD Quintiles,All Regions,All Stages,All Routes,27.87,27.87,27.87
2018,70-74,Female,All IMD Quintiles,All Regions,All Stages,All Routes,29.42,29.42,29.42
2019,70-74,Female,All IMD Quintiles,All Regions,All Stages,All Routes,29.65,29.65,29.65
2020,70-74,Female,All IMD Quintiles,All Regions,All Stages,All Routes,28.37,28.37,28.37
2021,70-74,Female,All IMD Quintiles,All Regions,All Stages,All Routes,34.95,34.95,34.95
2022,70-74,Female,All IMD Quintiles,All Regions,All Stages,All Routes,27.37,27.37,27.37
2023,70-74,Female,All IMD Quintiles,All Regions,All Stages,All Routes,27.51,27.51,27.51
allyears,70-74,Female,All IMD Quintiles,All Regions,All Stages,All Routes,33.39,32.26,34.53
2016,75-79,Female,All IMD Quintiles,All Regions,All Stages,All Routes,32.22,32.22,32.22
2017,75-79,Female,All IMD Quintiles,All Regions,All Stages,All Routes,27.16,27.16,27.16
2018,75-79,Female,All IMD Quintiles,All Regions,All Stages,All Routes,31.09,31.09,31.09
2019,75-79,Female,All IMD Quintiles,All Regions,All Stages,All Routes,29.62,29.62,29.62
2020,75-79,Female,All IMD Quintiles,All Regions,All Stages,All Routes,29.51,29.51,29.51
2021,75-79,Female,All IMD Quintiles,All Regions,All Stages,All Routes,33.28,33.28,33.28
2022,75-79,Female,All IMD Quintiles,All Regions,All Stages,All Routes,26.76,26.76,26.76
2023,75-79,Female,All IMD Quintiles,All Regions,All Stages,All Routes,27.37,27.37,27.37
allyears,75-79,Female,All IMD Quintiles,All Regions,All Stages,All Routes,34.45,33.16,35.75
2016,80-84,Female,All IMD Quintiles,All Regions,All Stages,All Routes,27.85,27.85,27.85
2017,80-84,Female,All IMD Quintiles,All Regions,All Stages,All Routes,28.13,28.13,28.13
2018,80-84,Female,All IMD Quintiles,All Regions,All Stages,All Routes,29.02,29.02,29.02
2019,80-84,Female,All IMD Quintiles,All Regions,All Stages,All Routes,29.4,29.4,29.4
2020,80-84,Female,All IMD Quintiles,All Regions,All Stages,All Routes,28.02,28.02,28.02
2021,80-84,Female,All IMD Quintiles,All Regions,All Stages,All Routes,37.28,37.28,37.28
2022,80-84,Female,All IMD Quintiles,All Regions,All Stages,All Routes,31.13,31.13,31.13
2023,80-84,Female,All IMD Quintiles,All Regions,All Stages,All Routes,28.93,28.93,28.93
allyears,80-84,Female,All IMD Quintiles,All Regions,All Stages,All Routes,34.45,32.95,35.96
2016,85-89,Female,All IMD Quintiles,All Regions,All Stages,All Routes,34.67,34.67,34.67
2017,85-89,Female,All IMD Quintiles,All Regions,All Stages,All Routes,29.38,29.38,29.38
2018,85-89,Female,All IMD Quintiles,All Regions,All Stages,All Routes,33.35,33.35,33.35
2019,85-89,Female,All IMD Quintiles,All Regions,All Stages,All Routes,33.83,33.83,33.83
2020,85-89,Female,All IMD Quintiles,All Regions,All Stages,All Routes,29.93,29.93,29.93
2021,85-89,Female,All IMD Quintiles,All Regions,All Stages,All Routes,31.42,31.42,31.42
2022,85-89,Female,All IMD Quintiles,All Regions,All Stages,All Routes,25.49,25.49,25.49
2023,85-89,Female,All IMD Quintiles,All Regions,All Stages,All Routes,27.99,27.99,27.99
allyears,85-89,Female,All IMD Quintiles,All Regions,All Stages,All Routes,35.25,33.41,37.08
2016,90+,Female,All IMD Quintiles,All Regions,All Stages,All Routes,31.43,31.43,31.43
2017,90+,Female,All IMD Quintiles,All Regions,All Stages,All Routes,28.37,28.37,28.37
2018,90+,Female,All IMD Quintiles,All Regions,All Stages,All Routes,34.85,34.85,34.85
2019,90+,Female,All IMD Quintiles,All Regions,All Stages,All Routes,37.03,37.03,37.03
2020,90+,Female,All IMD Quintiles,All Regions,All Stages,All Routes,33,33,33
2021,90+,Female,All IMD Quintiles,All Regions,All Stages,All Routes,31.34,31.34,31.34
2022,90+,Female,All IMD Quintiles,All Regions,All Stages,All Routes,28.06,28.06,28.06
2023,90+,Female,All IMD Quintiles,All Regions,All Stages,All Routes,30.95,30.95,30.95
allyears,90+,Female,All IMD Quintiles,All Regions,All Stages,All Routes,36.46,34.05,38.87
2016,all ages,Female,All IMD Quintiles,All Regions,All Stages,All Routes,11.1,10.7,11.5
2017,all ages,Female,All IMD Quintiles,All Regions,All Stages,All Routes,10.61,10.23,10.99
2018,all ages,Female,All IMD Quintiles,All Regions,All Stages,All Routes,11,10.62,11.39
2019,all ages,Female,All IMD Quintiles,All Regions,All Stages,All Routes,11.14,10.75,11.52
2020,all ages,Female,All IMD Quintiles,All Regions,All Stages,All Routes,10.49,10.12,10.86
