quarterYear,survival,ciLb,ciUb,sex,dep,region,route,stage,ageBand,diagnosisYear
4.25,.51999998,.49000001,.56,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,2017
4.5,.50999999,.47999999,.55000001,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,2017
4.75,.50999999,.47,.54000002,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,2017
5,.5,.47,.54000002,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,2017
0,1,1,1,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,2018
.25,.93000001,.91000003,.94999999,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,2018
.5,.85000002,.82999998,.88,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,2018
.75,.79000002,.75999999,.81999999,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,2018
1,.75,.70999998,.77999997,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,2018
1.25,.69999999,.67000002,.74000001,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,2018
1.5,.67000002,.63999999,.70999998,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,2018
1.75,.64999998,.61000001,.69,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,2018
2,.62,.57999998,.64999998,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,2018
2.25,.58999997,.56,.63,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,2018
2.5,.57999998,.54000002,.61000001,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,2018
2.75,.56999999,.52999997,.61000001,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,2018
3,.55000001,.51999998,.58999997,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,2018
3.25,.55000001,.50999999,.57999998,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,2018
3.5,.52999997,.5,.56999999,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,2018
3.75,.51999998,.47999999,.56,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,2018
4,.50999999,.47999999,.55000001,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,2018
4.25,.5,.46000001,.54000002,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,2018
4.5,.49000001,.44999999,.52999997,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,2018
4.75,.47999999,.44,.51999998,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,2018
5,.47,.43000001,.51999998,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,2018
0,1,1,1,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,2019
.25,.93000001,.91000003,.94999999,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,2019
.5,.86000001,.83999997,.88999999,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,2019
.75,.76999998,.74000001,.81,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,2019
1,.72000003,.68000001,.75,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,2019
1.25,.68000001,.64999998,.72000003,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,2019
1.5,.64999998,.62,.69,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,2019
1.75,.63,.58999997,.66000003,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,2019
2,.61000001,.56999999,.64999998,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,2019
2.25,.58999997,.55000001,.62,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,2019
2.5,.57999998,.54000002,.61000001,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,2019
2.75,.56,.51999998,.60000002,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,2019
3,.55000001,.50999999,.57999998,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,2019
3.25,.52999997,.49000001,.56999999,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,2019
3.5,.51999998,.47999999,.55000001,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,2019
3.75,.51999998,.47999999,.55000001,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,2019
4,.43000001,.31999999,.54000002,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,2019
4.25,.43000001,.31999999,.54000002,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,2019
4.5,.34,.18000001,.5,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,2019
4.75,.34,.18000001,.5,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,2019
0,1,1,1,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,2020
.25,.89999998,.88,.93000001,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,2020
.5,.81999999,.80000001,.85000002,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,2020
.75,.75,.72000003,.79000002,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,2020
1,.70999998,.67000002,.75,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,2020
1.25,.68000001,.64999998,.72000003,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,2020
1.5,.64999998,.61000001,.69,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,2020
1.75,.63,.58999997,.66000003,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,2020
2,.60000002,.56,.63999999,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,2020
2.25,.57999998,.54000002,.62,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,2020
2.5,.57999998,.54000002,.62,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,2020
2.75,.56,.51999998,.60000002,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,2020
3,.55000001,.5,.58999997,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,2020
3.25,.55000001,.5,.58999997,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,2020
3.5,.55000001,.5,.58999997,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,2020
4.5,.44,.25999999,.62,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,2020
0,1,.99000001,1,All Persons,IMD Q1,All Regions,All Routes,All Stages,All Ages,2021
