diagnosisYear,ageBand,sex,dep,region,stage,route,count,rate,ciLb,ciUb,table
2021,0-49,All Persons,All IMD Quintiles,All Regions,Early,All Routes,140,0.4,0.3,0.5,stage_early
2022,0-49,All Persons,All IMD Quintiles,All Regions,Early,All Routes,#N/A,#N/A,#N/A,#N/A,stage_early
2023,0-49,All Persons,All IMD Quintiles,All Regions,Early,All Routes,#N/A,#N/A,#N/A,#N/A,stage_early
allyears,0-49,All Persons,All IMD Quintiles,All Regions,Early,All Routes,965,0.3,0.3,0.3,
2016,0-49,All Persons,All IMD Quintiles,All Regions,Advanced,All Routes,130,0.4,0.3,0.4,stage_advanced
2017,0-49,All Persons,All IMD Quintiles,All Regions,Advanced,All Routes,165,0.5,0.4,0.5,stage_advanced
2018,0-49,All Persons,All IMD Quintiles,All Regions,Advanced,All Routes,135,0.4,0.3,0.5,stage_advanced
2019,0-49,All Persons,All IMD Quintiles,All Regions,Advanced,All Routes,105,0.3,0.2,0.4,stage_advanced
2020,0-49,All Persons,All IMD Quintiles,All Regions,Advanced,All Routes,120,0.3,0.3,0.4,stage_advanced
2021,0-49,All Persons,All IMD Quintiles,All Regions,Advanced,All Routes,140,0.4,0.3,0.5,stage_advanced
2022,0-49,All Persons,All IMD Quintiles,All Regions,Advanced,All Routes,#N/A,#N/A,#N/A,#N/A,stage_advanced
2023,0-49,All Persons,All IMD Quintiles,All Regions,Advanced,All Routes,#N/A,#N/A,#N/A,#N/A,stage_advanced
allyears,0-49,All Persons,All IMD Quintiles,All Regions,Advanced,All Routes,795,0.4,0.4,0.4,
2016,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,All Routes,35,1.2,0.8,1.6,region_East Midlands
2017,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,All Routes,45,1.6,1.1,2.1,region_East Midlands
2018,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,All Routes,25,0.9,0.6,1.3,region_East Midlands
2019,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,All Routes,40,1.3,0.9,1.7,region_East Midlands
2020,0-49,All Persons,All IMD Quintiles,East Midlands,All Stages,All Routes,25,0.8,0.5,1.1,region_East Midlands
