quarter_year,survival,ci_lb,ci_ub,sex,dep,region,route,stage_cat,agegrp,diagnosisyear
0,1,1,1,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
.25,.93000001,.92000002,.93000001,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
.5,.88,.87,.88999999,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
.75,.83999997,.82999998,.85000002,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
1,.80000001,.79000002,.81,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
1.25,.76999998,.75999999,.77999997,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
1.5,.75,.74000001,.75999999,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
1.75,.73000002,.72000003,.74000001,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
2,.69999999,.69,.70999998,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
2.25,.68000001,.67000002,.69,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
2.5,.66000003,.64999998,.67000002,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
2.75,.63999999,.63,.64999998,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
3,.63,.62,.63999999,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
3.25,.61000001,.60000002,.62,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
3.5,.60000002,.58999997,.61000001,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
3.75,.58999997,.56999999,.60000002,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
4,.56999999,.56,.57999998,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
4.25,.56,.55000001,.56999999,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
4.5,.55000001,.54000002,.56,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
