quarter_year,survival,ci_lb,ci_ub,sex,dep,region,route,stage_cat,agegrp,diagnosisyear
0,1,1,1,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
.25,.89999998,.88999999,.91000003,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
.5,.81999999,.81999999,.82999998,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
.75,.76999998,.75999999,.76999998,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
1,.72000003,.70999998,.73000002,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
1.25,.68000001,.67000002,.69,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
1.5,.64999998,.63999999,.66000003,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
1.75,.63,.62,.63999999,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
2,.60000002,.58999997,.61000001,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
2.25,.57999998,.56999999,.58999997,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
2.5,.56999999,.56,.57999998,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
2.75,.55000001,.54000002,.56,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
3,.54000002,.52999997,.55000001,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
3.25,.51999998,.50999999,.52999997,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
3.5,.50999999,.5,.51999998,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
3.75,.5,.49000001,.50999999,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
4,.49000001,.47999999,.5,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
4.25,.47999999,.47,.49000001,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
4.5,.47,.46000001,.47999999,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
4.75,.47,.46000001,.47999999,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
5,.46000001,.44999999,.47,All Persons,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
0,1,1,1,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
.25,.88999999,.88,.89999998,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
.5,.81,.80000001,.81999999,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
.75,.75,.74000001,.75999999,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
1,.69999999,.69,.70999998,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
1.25,.66000003,.64999998,.67000002,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
1.5,.63,.62,.63999999,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
1.75,.60000002,.58999997,.61000001,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
2,.56999999,.56,.58999997,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
2.25,.55000001,.54000002,.56,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
2.5,.52999997,.51999998,.54000002,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
2.75,.50999999,.5,.51999998,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
3,.49000001,.47999999,.50999999,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
3.25,.47999999,.47,.49000001,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
3.5,.47,.46000001,.47999999,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
3.75,.46000001,.44,.47,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
4,.44999999,.44,.46000001,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
4.25,.44,.43000001,.44999999,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
4.5,.43000001,.41,.44,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
4.75,.41999999,.41,.43000001,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
5,.41,.40000001,.43000001,Male,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
0,1,1,1,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
.25,.91000003,.91000003,.92000002,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
.5,.83999997,.82999998,.85000002,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
.75,.79000002,.77999997,.80000001,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
1,.75,.74000001,.76999998,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
1.25,.72000003,.70999998,.74000001,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
1.5,.69999999,.68000001,.70999998,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
1.75,.67000002,.66000003,.69,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
2,.66000003,.63999999,.67000002,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
2.25,.63999999,.63,.66000003,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
2.5,.63,.61000001,.64999998,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
2.75,.62,.61000001,.63999999,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
3,.61000001,.58999997,.62,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
3.25,.60000002,.57999998,.61000001,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
3.5,.57999998,.56999999,.60000002,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
3.75,.56999999,.55000001,.58999997,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
4,.56999999,.55000001,.57999998,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
4.25,.56,.54000002,.57999998,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
4.5,.55000001,.54000002,.56999999,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
4.75,.55000001,.52999997,.56999999,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
5,.54000002,.52999997,.56,Female,All IMD Quintiles,All Regions,All Routes,All Stages,All Ages,All Years
0,1,1,1,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
.25,.88,.86000001,.88999999,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
.5,.79000002,.76999998,.80000001,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
.75,.72000003,.69999999,.74000001,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
1,.66000003,.63999999,.68000001,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
1.25,.63,.61000001,.63999999,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
1.5,.60000002,.57999998,.62,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
1.75,.56999999,.55000001,.58999997,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
2,.55000001,.52999997,.56999999,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
2.25,.52999997,.50999999,.55000001,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
2.5,.50999999,.49000001,.52999997,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
2.75,.5,.47999999,.51999998,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
3,.47999999,.46000001,.5,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
3.25,.47,.44999999,.49000001,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
3.5,.46000001,.44,.47999999,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
3.75,.44999999,.43000001,.47,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
4,.44,.41999999,.46000001,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
4.25,.43000001,.41,.44999999,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
4.5,.41,.38999999,.44,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
4.75,.41,.38999999,.43000001,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
5,.41,.38,.43000001,All Persons,IMD 1 - most deprived,All Regions,All Routes,All Stages,All Ages,All Years
0,1,1,1,All Persons,IMD 2,All Regions,All Routes,All Stages,All Ages,All Years
.25,.88999999,.88,.91000003,All Persons,IMD 2,All Regions,All Routes,All Stages,All Ages,All Years
.5,.81999999,.80000001,.83999997,All Persons,IMD 2,All Regions,All Routes,All Stages,All Ages,All Years
.75,.76999998,.75,.79000002,All Persons,IMD 2,All Regions,All Routes,All Stages,All Ages,All Years
1,.72000003,.69999999,.74000001,All Persons,IMD 2,All Regions,All Routes,All Stages,All Ages,All Years
1.25,.67000002,.64999998,.69,All Persons,IMD 2,All Regions,All Routes,All Stages,All Ages,All Years
1.5,.63999999,.62,.66000003,All Persons,IMD 2,All Regions,All Routes,All Stages,All Ages,All Years
1.75,.62,.60000002,.63999999,All Persons,IMD 2,All Regions,All Routes,All Stages,All Ages,All Years
2,.58999997,.56999999,.62,All Persons,IMD 2,All Regions,All Routes,All Stages,All Ages,All Years
2.25,.57999998,.56,.60000002,All Persons,IMD 2,All Regions,All Routes,All Stages,All Ages,All Years
2.5,.56,.54000002,.57999998,All Persons,IMD 2,All Regions,All Routes,All Stages,All Ages,All Years
2.75,.54000002,.51999998,.56,All Persons,IMD 2,All Regions,All Routes,All Stages,All Ages,All Years
3,.51999998,.5,.55000001,All Persons,IMD 2,All Regions,All Routes,All Stages,All Ages,All Years
3.25,.50999999,.49000001,.54000002,All Persons,IMD 2,All Regions,All Routes,All Stages,All Ages,All Years
3.5,.5,.47999999,.52999997,All Persons,IMD 2,All Regions,All Routes,All Stages,All Ages,All Years
3.75,.49000001,.47,.50999999,All Persons,IMD 2,All Regions,All Routes,All Stages,All Ages,All Years
4,.47999999,.46000001,.50999999,All Persons,IMD 2,All Regions,All Routes,All Stages,All Ages,All Years
4.25,.47999999,.44999999,.5,All Persons,IMD 2,All Regions,All Routes,All Stages,All Ages,All Years
4.5,.47,.44999999,.49000001,All Persons,IMD 2,All Regions,All Routes,All Stages,All Ages,All Years
4.75,.46000001,.44,.49000001,All Persons,IMD 2,All Regions,All Routes,All Stages,All Ages,All Years
5,.46000001,.43000001,.47999999,All Persons,IMD 2,All Regions,All Routes,All Stages,All Ages,All Years
0,1,1,1,All Persons,IMD 3,All Regions,All Routes,All Stages,All Ages,All Years
.25,.91000003,.89999998,.92000002,All Persons,IMD 3,All Regions,All Routes,All Stages,All Ages,All Years
.5,.82999998,.81,.85000002,All Persons,IMD 3,All Regions,All Routes,All Stages,All Ages,All Years
.75,.77999997,.75999999,.79000002,All Persons,IMD 3,All Regions,All Routes,All Stages,All Ages,All Years
1,.73000002,.70999998,.75,All Persons,IMD 3,All Regions,All Routes,All Stages,All Ages,All Years
1.25,.69999999,.68000001,.72000003,All Persons,IMD 3,All Regions,All Routes,All Stages,All Ages,All Years
1.5,.67000002,.64999998,.69,All Persons,IMD 3,All Regions,All Routes,All Stages,All Ages,All Years
1.75,.63999999,.62,.66000003,All Persons,IMD 3,All Regions,All Routes,All Stages,All Ages,All Years
2,.62,.60000002,.63999999,All Persons,IMD 3,All Regions,All Routes,All Stages,All Ages,All Years
2.25,.60000002,.57999998,.62,All Persons,IMD 3,All Regions,All Routes,All Stages,All Ages,All Years
2.5,.57999998,.56,.60000002,All Persons,IMD 3,All Regions,All Routes,All Stages,All Ages,All Years
2.75,.56,.54000002,.58999997,All Persons,IMD 3,All Regions,All Routes,All Stages,All Ages,All Years
3,.55000001,.51999998,.56999999,All Persons,IMD 3,All Regions,All Routes,All Stages,All Ages,All Years
3.25,.52999997,.50999999,.55000001,All Persons,IMD 3,All Regions,All Routes,All Stages,All Ages,All Years
3.5,.51999998,.5,.54000002,All Persons,IMD 3,All Regions,All Routes,All Stages,All Ages,All Years
3.75,.50999999,.47999999,.52999997,All Persons,IMD 3,All Regions,All Routes,All Stages,All Ages,All Years
4,.5,.47,.51999998,All Persons,IMD 3,All Regions,All Routes,All Stages,All Ages,All Years
4.25,.49000001,.47,.50999999,All Persons,IMD 3,All Regions,All Routes,All Stages,All Ages,All Years
4.5,.47999999,.44999999,.5,All Persons,IMD 3,All Regions,All Routes,All Stages,All Ages,All Years
4.75,.47,.44999999,.5,All Persons,IMD 3,All Regions,All Routes,All Stages,All Ages,All Years
5,.46000001,.44,.49000001,All Persons,IMD 3,All Regions,All Routes,All Stages,All Ages,All Years
0,1,1,1,All Persons,IMD 4,All Regions,All Routes,All Stages,All Ages,All Years
.25,.89999998,.88999999,.91000003,All Persons,IMD 4,All Regions,All Routes,All Stages,All Ages,All Years
.5,.82999998,.81999999,.85000002,All Persons,IMD 4,All Regions,All Routes,All Stages,All Ages,All Years
.75,.77999997,.75999999,.79000002,All Persons,IMD 4,All Regions,All Routes,All Stages,All Ages,All Years
1,.74000001,.72000003,.75999999,All Persons,IMD 4,All Regions,All Routes,All Stages,All Ages,All Years
1.25,.69999999,.68000001,.72000003,All Persons,IMD 4,All Regions,All Routes,All Stages,All Ages,All Years
1.5,.67000002,.64999998,.69,All Persons,IMD 4,All Regions,All Routes,All Stages,All Ages,All Years
1.75,.63999999,.62,.66000003,All Persons,IMD 4,All Regions,All Routes,All Stages,All Ages,All Years
2,.62,.60000002,.63999999,All Persons,IMD 4,All Regions,All Routes,All Stages,All Ages,All Years
2.25,.60000002,.57999998,.62,All Persons,IMD 4,All Regions,All Routes,All Stages,All Ages,All Years
2.5,.57999998,.56,.60000002,All Persons,IMD 4,All Regions,All Routes,All Stages,All Ages,All Years
2.75,.56999999,.55000001,.58999997,All Persons,IMD 4,All Regions,All Routes,All Stages,All Ages,All Years
3,.56,.54000002,.57999998,All Persons,IMD 4,All Regions,All Routes,All Stages,All Ages,All Years
3.25,.54000002,.51999998,.56,All Persons,IMD 4,All Regions,All Routes,All Stages,All Ages,All Years
3.5,.52999997,.5,.55000001,All Persons,IMD 4,All Regions,All Routes,All Stages,All Ages,All Years
3.75,.50999999,.49000001,.54000002,All Persons,IMD 4,All Regions,All Routes,All Stages,All Ages,All Years
4,.50999999,.47999999,.52999997,All Persons,IMD 4,All Regions,All Routes,All Stages,All Ages,All Years
4.25,.5,.47,.51999998,All Persons,IMD 4,All Regions,All Routes,All Stages,All Ages,All Years
4.5,.49000001,.46000001,.50999999,All Persons,IMD 4,All Regions,All Routes,All Stages,All Ages,All Years
4.75,.47999999,.46000001,.50999999,All Persons,IMD 4,All Regions,All Routes,All Stages,All Ages,All Years
5,.47999999,.44999999,.5,All Persons,IMD 4,All Regions,All Routes,All Stages,All Ages,All Years
0,1,1,1,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
.25,.93000001,.92000002,.94,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
.5,.86000001,.85000002,.88,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
.75,.81,.79000002,.81999999,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
1,.75999999,.74000001,.77999997,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
1.25,.73000002,.70999998,.75,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
1.5,.69999999,.68000001,.72000003,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
1.75,.68000001,.66000003,.69999999,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
2,.64999998,.63,.68000001,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
2.25,.63,.60000002,.64999998,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
2.5,.61000001,.58999997,.63,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
2.75,.60000002,.57999998,.62,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
3,.57999998,.56,.60000002,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
3.25,.56,.54000002,.58999997,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
3.5,.56,.52999997,.57999998,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
3.75,.55000001,.51999998,.56999999,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
4,.54000002,.50999999,.56,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
4.25,.52999997,.50999999,.56,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
4.5,.52999997,.5,.55000001,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
4.75,.51999998,.49000001,.54000002,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
5,.50999999,.47999999,.54000002,All Persons,IMD 5 - least deprived,All Regions,All Routes,All Stages,All Ages,All Years
0,1,1,1,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
.25,.88999999,.87,.91000003,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
.5,.81,.79000002,.83999997,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
.75,.75999999,.73000002,.77999997,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
1,.69999999,.67000002,.73000002,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
1.25,.64999998,.62,.68000001,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
1.5,.63,.58999997,.66000003,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
1.75,.60000002,.56999999,.63,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
2,.56999999,.54000002,.60000002,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
2.25,.55000001,.51999998,.57999998,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
2.5,.54000002,.5,.56999999,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
2.75,.51999998,.49000001,.56,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
3,.50999999,.47,.54000002,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
3.25,.5,.46000001,.52999997,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
3.5,.49000001,.44999999,.51999998,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
3.75,.47999999,.44,.50999999,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
4,.46000001,.41999999,.49000001,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
4.25,.44999999,.41,.49000001,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
4.5,.44,.40000001,.47,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
4.75,.44,.40000001,.47,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
5,.43000001,.38999999,.47,All Persons,All IMD Quintiles,East Midlands,All Routes,All Stages,All Ages,All Years
0,1,1,1,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
.25,.89999998,.88999999,.92000002,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
.5,.82999998,.81,.85000002,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
.75,.75999999,.73000002,.77999997,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
1,.70999998,.68000001,.73000002,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
1.25,.67000002,.63999999,.69,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
1.5,.63999999,.61000001,.67000002,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
1.75,.61000001,.57999998,.63999999,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
2,.58999997,.56999999,.62,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
2.25,.57999998,.55000001,.61000001,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
2.5,.55000001,.51999998,.57999998,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
2.75,.54000002,.50999999,.56999999,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
3,.51999998,.49000001,.56,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
3.25,.50999999,.47999999,.54000002,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
3.5,.5,.47,.52999997,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
3.75,.49000001,.46000001,.51999998,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
4,.49000001,.46000001,.51999998,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
4.25,.47999999,.44999999,.50999999,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
4.5,.47,.44,.50999999,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
4.75,.47,.44,.5,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
5,.46000001,.43000001,.49000001,All Persons,All IMD Quintiles,East of England,All Routes,All Stages,All Ages,All Years
0,1,1,1,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
.25,.92000002,.91000003,.93000001,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
.5,.86000001,.85000002,.88,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
.75,.81999999,.80000001,.83999997,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
1,.77999997,.75999999,.80000001,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
1.25,.75,.72000003,.76999998,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
1.5,.72000003,.69999999,.74000001,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
1.75,.69999999,.68000001,.72000003,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
2,.68000001,.66000003,.70999998,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
2.25,.67000002,.63999999,.69,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
2.5,.64999998,.63,.68000001,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
2.75,.63999999,.61000001,.67000002,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
3,.63,.60000002,.64999998,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
3.25,.62,.58999997,.63999999,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
3.5,.61000001,.57999998,.63,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
3.75,.60000002,.56999999,.62,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
4,.58999997,.56,.62,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
4.25,.57999998,.56,.61000001,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
4.5,.56999999,.54000002,.60000002,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
4.75,.56,.52999997,.58999997,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
5,.56,.52999997,.58999997,All Persons,All IMD Quintiles,London,All Routes,All Stages,All Ages,All Years
0,1,1,1,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
.25,.88999999,.86000001,.91000003,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
.5,.81,.76999998,.83999997,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
.75,.73000002,.69999999,.76999998,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
1,.68000001,.63999999,.72000003,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
1.25,.63999999,.60000002,.68000001,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
1.5,.61000001,.56999999,.63999999,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
1.75,.57999998,.54000002,.62,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
2,.56,.51999998,.60000002,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
2.25,.52999997,.49000001,.56999999,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
2.5,.50999999,.47,.55000001,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
2.75,.49000001,.44999999,.54000002,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
3,.47999999,.44,.51999998,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
3.25,.47,.41999999,.50999999,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
3.5,.44999999,.41,.5,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
3.75,.44999999,.40000001,.49000001,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
4,.44,.40000001,.47999999,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
4.25,.43000001,.38999999,.47999999,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
4.5,.41999999,.38,.47,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
4.75,.41,.37,.46000001,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
5,.41,.36000001,.44999999,All Persons,All IMD Quintiles,North East,All Routes,All Stages,All Ages,All Years
0,1,1,1,All Persons,All IMD Quintiles,North West,All Routes,All Stages,All Ages,All Years
.25,.89999998,.88,.91000003,All Persons,All IMD Quintiles,North West,All Routes,All Stages,All Ages,All Years
.5,.81999999,.80000001,.83999997,All Persons,All IMD Quintiles,North West,All Routes,All Stages,All Ages,All Years
.75,.75999999,.74000001,.77999997,All Persons,All IMD Quintiles,North West,All Routes,All Stages,All Ages,All Years
1,.70999998,.68000001,.73000002,All Persons,All IMD Quintiles,North West,All Routes,All Stages,All Ages,All Years
